#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-100	142.012	0.272655	13180.7	-13182	342.89	348.791
-80	108.265	0.362993	13355.4	-13202.7	462.995	452.147
-60	71.6676	0.541721	13889.1	-13135.5	462.581	434.588
-40	33.7259	0.707662	16060.4	-13513.3	509.446	454.231
-20	6.95577	0.322867	19946.3	-15217.5	483.296	430.244
0	0.000164766	0.000213003	20729	-18344.2	551.074	492.554
20	-12.1152	0.343845	16728.3	-14656.2	480.022	414.73
40	-46.8689	0.361161	13599.3	-13291.2	410.148	375.5
60	-80.9497	0.261853	13192.5	-13142.5	366.862	400.514
80	-113.455	0.187399	13114.4	-13121.6	446.983	442.798
100	-145.185	0.157035	13005.2	-13060.3	417.946	431.8

#a = 0.250000 V = 40.000000 #N_heads = 3   c = 0.300000       N = 86     time = 10000000.000000
#CPU_time = 215446.606175
