#k	a	da	b	db	F	dF
1.00	-0.000365399	1.14E-005	0.000111992	1.03E-006	0.3064923549	0.0099560289
1.41	-0.000811936	2.94E-005	0.000193137	2.49E-006	0.2378721968	0.0091315084
2.00	-0.00164021	3.55E-005	0.000309694	2.58E-006	0.1888136275	0.0043749943
2.83	-0.00358675	0.0001329	0.000488075	9.66E-006	0.1360772287	0.005716301
4.00	-0.00659358	0.0001115	0.000670043	6.75E-006	0.1016205157	0.0020003409
5.66	-0.0117576	0.0002354	0.000865045	1.14E-005	0.0735732633	0.001763484
8.00	-0.0186258	0.0002613	0.00096614	9.49E-006	0.0518710606	0.0008884275
11.31	-0.0278222	0.0005959	0.00102668	1.80E-005	0.0369014672	0.0010223
16.00	-0.0368366	0.0009544	0.000971871	2.31E-005	0.0263832981	0.0009280028
22.63	-0.0470041	0.0007181	0.000890287	1.31E-005	0.0189406243	0.0004010144
32.00	-0.054933	0.001851	0.000743502	2.24E-005	0.0135347059	0.0006118947
45.25	-0.0610109	0.001793	0.000590223	2.17E-005	0.0096740582	0.0004555937
64.00	-0.0696128	0.002316	0.000460804	2.10E-005	0.0066195297	0.0003739683
90.51	-0.0722699	0.0029	0.00034625	2.63E-005	0.0047910679	0.0004120648
128.00	-0.0727933	0.001834	0.000248112	1.67E-005	0.0034084456	0.0002444476

