#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	67.2573	0.896753	861.508	-863.254	105.083	92.7235
-48	64.0087	0.960496	867.145	-859.722	102.823	104.401
-46	60.3195	1.13997	870.171	-865.375	107.966	103.337
-44	56.9527	1.17971	872.074	-869.804	98.9171	101.542
-42	53.1447	1.32036	890.259	-862.452	106.915	94.6174
-40	49.7259	1.26786	903.574	-864.466	108.615	110.982
-38	45.9398	1.26843	903.154	-880.367	103.469	102.789
-36	42.4913	1.25123	903.469	-881.514	98.7512	111.696
-34	38.7234	1.42885	933.772	-892.351	109.408	112.252
-32	35.4295	1.35519	937.566	-877.778	107.911	106.597
-30	31.628	1.27539	1003.85	-916.756	105.14	102.27
-28	28.2095	1.48349	1004.07	-897.418	133.992	118.786
-26	24.3472	1.4591	1047.37	-928.925	124.764	111.63
-24	21.0562	1.20505	1081.87	-931.625	128.027	108.949
-22	18.0545	1.37707	1124.87	-957.325	121.647	109.415
-20	14.7225	1.2212	1140.82	-960.693	124.767	106.637
-18	11.9588	1.04744	1208.98	-993.3	130.351	129.155
-16	9.51225	1.10721	1226.16	-989.587	141.321	126.129
-14	7.38974	0.860101	1272.01	-1017.1	141.972	135.082
-12	5.38405	0.587022	1318.61	-1070.1	141.66	127.574
-10	3.75605	0.431961	1351.57	-1114.53	151.658	136.89
-8	2.39255	0.304219	1359.04	-1146.75	143.16	136.588
-6	1.40264	0.178494	1350.73	-1167.18	144.056	125.111
-4	0.66587	0.0937356	1413.22	-1249.19	131.101	124.082
-2	0.252825	0.0306949	1407.97	-1262.67	149.434	142.396
0	0.00018666	0.00125285	1431.48	-1302.38	156.525	145.713
2	-0.249968	0.0308186	1430.75	-1284.01	152.126	144.893
4	-0.659796	0.0810038	1380.01	-1221.71	136.007	133.196
6	-1.36064	0.197093	1382.99	-1193.82	149.977	142.617
8	-2.48234	0.296599	1358.93	-1153.31	153.81	145.332
10	-3.75908	0.46066	1336.99	-1094.59	156.95	142.278
12	-5.42221	0.659045	1300.72	-1056.59	158.647	130.737
14	-7.25244	0.913139	1263.4	-1023.27	144.502	124.86
16	-9.42565	1.02278	1255.59	-1016.72	141.797	133.028
18	-11.8508	1.10825	1216.29	-999.041	124.605	119.617
20	-14.7884	1.11944	1137.37	-944.229	119.38	93.452
22	-18.0157	1.39495	1088.64	-926.254	111.221	108.306
24	-21.0587	1.45419	1099.2	-957.188	110.926	106.373
26	-24.9353	1.43881	1022.14	-891.881	108.233	91.8008
28	-28.3021	1.35781	994.167	-879.571	112.942	100.233
30	-31.6297	1.38045	973.084	-899.69	114.059	107.645
32	-35.0966	1.40444	943.049	-888.177	114.05	109.924
34	-38.8297	1.22418	924.572	-874.956	115.544	103.664
36	-42.3426	1.35169	923.663	-899.632	111.604	108.377
38	-46.179	1.22877	891.632	-868.644	101.302	102.417
40	-49.9416	1.19607	882.172	-862.47	118.131	101.215
42	-53.1804	1.0593	858.511	-845.979	97.2281	103.344
44	-56.7924	0.912782	850.254	-860.24	90.0857	92.2654
46	-60.22	1.05217	882.652	-877.48	99.0177	105.807
48	-63.6624	0.850597	867.146	-863.062	105.965	106.362
50	-67.2485	0.940013	857.503	-862.842	111.14	99.6896

#a = 0.500000 V = 40.000000 #N_heads = 2   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 21942.511704
