#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-100	143.666	0.721517	1650.96	-1710.01	146.738	163.163
-96	137.162	0.788656	1647.8	-1692.54	150.975	158.114
-92	130.516	0.700884	1651.22	-1715.75	147.323	140.775
-88	124.016	0.824345	1652.68	-1694.14	134.068	142.688
-84	117.033	0.906174	1662.69	-1711.25	153.757	152.253
-80	110.391	0.788163	1688.71	-1723.08	164.575	154.595
-76	103.555	1.00819	1658.46	-1686.82	121.73	129.133
-72	96.5183	0.966771	1669.88	-1707.82	136.906	143.852
-68	89.3381	1.20962	1707.83	-1734.93	163.72	154.404
-64	82.3233	1.20475	1703.35	-1726.11	157.225	150.669
-60	74.6992	1.46095	1698.79	-1716.98	167.381	161.511
-56	67.1975	1.59585	1746.68	-1725.42	148.022	146.723
-52	59.2368	1.82652	1759.3	-1718.75	178.291	182.053
-48	51.3904	1.673	1831.78	-1742	141.016	139.66
-44	43.8802	1.84206	1857.04	-1739.46	145.593	155.764
-40	36.2189	2.184	1903.24	-1742.87	173.532	153.111
-36	28.4689	1.7471	1990.41	-1785.55	187.549	160.823
-32	22.0699	1.75104	2082.04	-1808.62	171.593	147.115
-28	15.6756	1.53761	2180.88	-1872.25	196.899	172.052
-24	10.6316	1.29286	2280.03	-1927.48	171.529	156.986
-20	6.47372	0.822502	2387.9	-1975.86	187.832	160.938
-16	3.48328	0.492493	2479.3	-2053.67	181.791	149.464
-12	1.5605	0.253859	2526.75	-2133.32	180.861	144.328
-8	0.49769	0.103752	2563.13	-2189.52	167.61	163.376
-4	0.109643	0.0213491	2588.38	-2237.22	185.919	157.279
0	0.000464272	0.000502016	2583.6	-2264.21	176.682	165.762
4	-0.104731	0.0235926	2571.83	-2271.42	176.347	159.806
8	-0.503873	0.0990598	2539.7	-2238.38	198.78	186.415
12	-1.55159	0.275972	2496.79	-2175.92	174.491	162.874
16	-3.50877	0.638538	2409.7	-2115.59	196.156	182.868
20	-6.68263	0.802071	2301.92	-2017.95	168.299	151.538
24	-11.1533	1.21422	2200.94	-1942.85	155.09	152.994
28	-16.9225	1.53458	2108.04	-1890.8	165.455	159.924
32	-23.3578	1.5949	1992.86	-1825.15	169.995	145.751
36	-30.7208	1.83363	1928.04	-1803.5	163.992	168.472
40	-38.4414	1.88893	1866.12	-1783.76	156.579	152.263
44	-46.2356	1.58296	1790.37	-1756.64	148.502	144.354
48	-53.8597	1.72637	1752.03	-1769.82	135.409	143.537
52	-61.8167	1.51743	1767.28	-1762.24	143.234	150.898
56	-69.2308	1.27767	1730.81	-1731.29	168.481	138.899
60	-76.5026	1.23237	1711.48	-1727.95	133.046	131.577
64	-83.8748	0.957921	1680.57	-1711.51	126.496	143.421
68	-90.8311	0.986459	1669.39	-1734.35	137.629	158.483
72	-97.7927	1.01089	1675.17	-1715.06	150.084	154.55
76	-104.696	0.914494	1669.36	-1701.75	138.751	143.081
80	-111.434	0.726182	1662.19	-1693.35	146.22	147.059
84	-118.011	0.651107	1682.36	-1746.93	147.552	153.428
88	-124.648	0.700056	1696.03	-1731.57	148.905	134.148
92	-131.294	0.660113	1656.22	-1708.17	144.665	158.469
96	-137.884	0.623089	1643.28	-1698.6	128.518	140
100	-144.343	0.561026	1661.11	-1707.25	140.337	141.594

#a = 0.400000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 25929.547330
