#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	148.502	0.448951	1646.71	-1706.37	146.196	143.709
-144	141.948	0.491151	1652.11	-1705.65	148.739	156.914
-138	135.313	0.526246	1666.48	-1732.68	134.583	137.314
-132	128.666	0.690349	1654.69	-1712.74	132.176	148.465
-126	122.114	0.677783	1654.42	-1717.14	137.359	147.018
-120	115.407	0.636319	1675.72	-1714.76	143.23	140.623
-114	108.569	0.684309	1646.66	-1719.91	132.507	152.132
-108	101.968	0.740874	1651.62	-1702.36	151.057	134.242
-102	95.1188	0.709254	1665.34	-1736.24	144.023	141.068
-96	88.0207	0.858227	1680.72	-1727.39	172.692	169.156
-90	81.0321	0.985584	1681.66	-1721.26	129.264	156.111
-84	73.652	1.08902	1701.66	-1730.15	154.65	155.106
-78	66.8141	1.10878	1723.26	-1753.16	151.57	146.122
-72	59.1514	1.31983	1718.2	-1750.23	149.252	152.243
-66	51.4213	1.17171	1716.25	-1724.85	141.776	141.209
-60	43.6797	1.22275	1791.23	-1781.62	163.635	165.775
-54	36.0357	1.49223	1809.63	-1774.2	133.576	141.453
-48	28.0345	1.6751	1909.06	-1801.18	170.291	168.643
-42	20.638	1.48077	1984.59	-1838.58	169.393	160.435
-36	14.115	1.18371	2085.61	-1900.09	158.535	144.048
-30	8.49341	0.931106	2228.9	-1996.73	159.313	153.777
-24	4.47899	0.648702	2320.01	-2060.62	161.892	159.764
-18	1.88475	0.345108	2448.35	-2185.31	195.963	178.537
-12	0.588039	0.117262	2489.69	-2223.47	166.918	154.669
-6	0.126515	0.0249487	2503.05	-2234.54	221.406	192.245
0	-0.00100023	0.000595122	2583.73	-2263.57	163.75	156.978
6	-0.129747	0.0242972	2541.85	-2147.76	184.319	161.507
12	-0.594588	0.105681	2608.82	-2128.53	197.884	173.21
18	-1.75769	0.317737	2602.92	-2071.34	210.804	175.365
24	-3.75148	0.610277	2530.91	-1957.25	180.696	173.54
30	-6.50941	0.899349	2399.81	-1857.22	176.282	153.968
36	-10.2333	1.28319	2350.45	-1862.14	194.377	162.958
42	-15.4162	1.40302	2232.23	-1799.09	177.253	150.495
48	-21.3534	1.80632	2116.08	-1767.62	162.706	137.821
54	-28.1238	1.93861	2067.67	-1766.37	175.264	143.03
60	-35.8233	1.93621	1946.27	-1721.35	171.341	143.674
66	-43.3423	1.95835	1911.56	-1739.97	171.893	148.305
72	-51.3594	2.12231	1841.45	-1735.58	161.446	131.724
78	-59.7263	1.66069	1786.43	-1733.64	146.098	162.746
84	-67.54	1.93134	1755.09	-1700.06	141.153	123.994
90	-75.0497	1.80886	1757.03	-1741.16	150.455	163.7
96	-83.145	1.25314	1703.85	-1709.99	143.918	140.323
102	-90.9873	1.19229	1684.09	-1693.68	140.908	157.745
108	-98.0744	1.1302	1690.5	-1708.17	127.077	158.607
114	-105.411	1.02733	1704.22	-1735.81	152.095	151.381
120	-112.653	0.942615	1656.42	-1695.28	148.069	141.419
126	-119.739	0.926605	1675.2	-1718.58	165.04	160.056
132	-126.662	0.812325	1660.9	-1737.16	169.068	164.97
138	-133.508	0.81218	1655.75	-1701.57	142.49	131.714
144	-140.357	0.730998	1642.78	-1722.56	151.888	136.277
150	-147.143	0.633424	1648.07	-1716.77	166.085	165.741

#a = 0.750000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 29378.043623
