#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	220.79	0.573763	838.084	-853.679	103.363	109.697
-144	210.946	0.531457	827.028	-852.065	115.507	112.582
-138	201.212	0.643291	820.815	-856.191	112.068	100.178
-132	191.37	0.644436	821.453	-862.968	100.788	107.537
-126	181.351	0.628077	825.023	-862.223	107.028	104.617
-120	171.517	0.782809	823.578	-846.897	98.8068	102.931
-114	161.599	0.81319	818.057	-846.615	103.776	106.506
-108	151.354	0.905847	817.699	-848.556	99.9361	100.405
-102	141.146	0.935709	829.039	-853.799	104.264	107.999
-96	130.581	1.08728	840.001	-859.137	96.8244	107.175
-90	119.767	1.15608	842.096	-855.258	104.023	93.918
-84	108.813	1.29106	836.614	-865.053	109.113	102.553
-78	97.2118	1.1972	851.18	-867.836	108.326	106.878
-72	85.6149	1.59697	835.267	-858.891	106.203	117.15
-66	72.7894	1.68298	867.196	-859.737	105.537	108.179
-60	59.6098	1.83637	859.306	-850.194	110.909	103.374
-54	46.4261	2.38776	899.033	-840.072	97.2197	100.814
-48	32.8605	2.48402	927.951	-849.756	105.172	101.281
-42	21.5188	2.31161	1006.89	-853.2	110.902	100.935
-36	13.0423	1.95349	1036.36	-852.131	110.101	103.682
-30	6.41475	1.30273	1098.9	-867.174	120.619	104.847
-24	2.79066	0.785062	1156.63	-912.295	119.586	101.547
-18	0.983985	0.367685	1221.88	-985.472	137.078	109.322
-12	0.214376	0.131389	1242.79	-1043.46	126.416	114.495
-6	0.027038	0.0195441	1263.58	-1098.39	131.243	118.635
0	0.000336151	0.000170241	1236.37	-1090.88	116.082	104.79
6	-0.0267758	0.0185501	1248.79	-1125.76	126.024	109.472
12	-0.212803	0.102034	1232.47	-1116.76	138.642	124.548
18	-1.04813	0.401955	1179.68	-1074.77	132.718	122.85
24	-3.52986	0.860073	1128.27	-1020.68	113.619	109.404
30	-9.16836	1.46098	1060.97	-957.62	106.591	96.9399
36	-17.524	2.01879	980.524	-912.855	98.078	94.7807
42	-29.2156	2.45452	931.739	-892.11	92.733	103.573
48	-42.357	2.0946	892.991	-888.141	104.212	109.771
54	-54.7508	1.89718	877.911	-879.517	110.135	116.308
60	-67.2956	1.64668	862.055	-874.059	89.0921	104.592
66	-79.1784	1.42599	835.86	-851.098	104.167	99.6782
72	-90.4995	1.36219	854.42	-869.615	119.972	112.656
78	-101.264	1.1787	839.071	-860.062	96.0429	96.4355
84	-111.928	0.968916	821.287	-845.59	103.3	104.878
90	-122.249	0.988439	818.355	-843.462	101.031	106.281
96	-132.684	0.82364	849.459	-867.103	110.304	116.878
102	-142.831	0.953567	814.459	-844.213	100.492	111.569
108	-152.932	0.748717	826.066	-863.696	103.156	108.275
114	-162.824	0.729013	830.492	-856.195	98.0014	96.2081
120	-172.679	0.663966	830.953	-872.617	98.7951	104.521
126	-182.757	0.738058	838.988	-852.916	101.985	93.3743
132	-192.443	0.594804	816.252	-847.146	97.0469	108.141
138	-202.154	0.657649	817.381	-846.476	99.8509	103.604
144	-211.939	0.5975	811.759	-848.38	88.4742	99.396
150	-221.696	0.529058	809.919	-846.581	83.3682	106.092

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 23853.232927
