#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
50	-60.1458	1.20891	1801.75	-1774.08	148.291	151.096
95	-135.492	0.612485	1748.94	-1754	149.69	147.712
140	-206.308	0.434586	1742.08	-1738.59	148.278	144.27
185	-275.907	0.32165	1740.81	-1748.61	155.402	151.657
230	-344.981	0.249857	1745.8	-1756.75	147.021	150.884
275	-413.754	0.208153	1733.29	-1740.8	153.551	149.769
320	-482.383	0.179732	1737.59	-1743.89	146.636	147.908
365	-550.877	0.157452	1738.5	-1749.02	145.357	143.749
410	-619.337	0.142525	1735.11	-1739.97	146.816	149.345
455	-687.753	0.118489	1735.47	-1749.23	150.695	146.67
500	-756.122	0.106268	1734.83	-1741.15	149.624	153.438

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 1000     time = 1000000.000000
#CPU_time = 506139.115828
