#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	55.0039	1.44479	7141.21	-7020.91	284.548	280.037
-49	53.0251	1.38379	7096.23	-6937.87	335.364	330.821
-48	50.9128	1.37298	7058.72	-6905.07	280.446	300.626
-47	49.2768	1.50556	7044.73	-6884.16	350.911	302.299
-46	47.4386	1.13897	7150.42	-6920.73	273.198	276.692
-45	45.379	1.56028	7151.32	-6905.31	290.606	308.3
-44	43.6926	1.44413	7202.8	-6890.51	284.145	275.086
-43	41.8015	1.35148	7200.24	-6910.9	299.516	305.346
-42	39.9002	1.33441	7280.4	-6944.76	311.341	308.543
-41	38.1046	1.63251	7249.78	-6882.69	289.959	280.881
-40	36.3359	1.32291	7244.6	-6874.67	295.493	271.208
-39	34.6627	1.30829	7288.35	-6891.23	321.702	253.221
-38	32.8142	1.32143	7285.77	-6848.1	339.25	304.084
-37	31.0919	1.38598	7330.57	-6815.78	291.596	289.103
-36	29.443	1.17754	7326.41	-6786.26	271.755	270.893
-35	27.6321	1.36901	7400.3	-6786.05	329.08	302.603
-34	26.0716	1.25785	7343.48	-6726.85	286.919	296.715
-33	24.4978	1.1113	7496.71	-6817.48	363.43	312.014
-32	22.9954	1.17129	7417.32	-6713.51	266.674	255.285
-31	21.6154	1.01662	7490.12	-6773.8	302.266	299.28
-30	19.909	1.11933	7523.34	-6704.32	325.551	265.067
-29	18.393	1.15934	7549.49	-6700.17	301.252	291.725
-28	17.2034	1.07548	7602.83	-6690.62	312.602	261.641
-27	15.8118	0.909472	7615.97	-6657.08	319.186	285.788
-26	14.6781	0.929516	7695.99	-6710.55	342.574	324.47
-25	13.2573	0.776295	7682.59	-6653.33	297.038	296.449
-24	12.2918	0.833049	7740.22	-6633.67	322.952	288.605
-23	10.9043	0.741936	7746.01	-6588.72	317.029	288.24
-22	10.0907	0.715033	7802.98	-6601.27	334.758	301.369
-21	8.95363	0.661529	7857.75	-6589.87	356.273	294.083
-20	7.89927	0.575137	7868.04	-6548.22	312.954	271.108
-19	7.06115	0.573808	7900.39	-6520.53	323.383	280.08
-18	6.23316	0.503816	7960.62	-6525.57	278.194	240.48
-17	5.5372	0.425025	7943.05	-6475.4	330.898	278.459
-16	4.7571	0.433835	8034.07	-6528.89	317.873	301.985
-15	4.24662	0.383139	8034.28	-6476.37	340.301	253.269
-14	3.55027	0.317305	8039.07	-6437.25	293.514	267.777
-13	3.07447	0.26442	8170.7	-6484.37	311.735	275.611
-12	2.55073	0.263233	8155.05	-6429	307.858	283.683
-11	2.14662	0.229605	8219.4	-6444.31	312.626	286.026
-10	1.77268	0.16733	8225.44	-6443.53	329.842	280.149
-9	1.43422	0.156758	8272.09	-6385.8	340.257	273.749
-8	1.15508	0.135247	8232.18	-6371.9	302.548	255.588
-7	0.901192	0.0976398	8311.89	-6358.22	334.655	290.412
-6	0.708145	0.0966656	8270.13	-6332.26	304.394	238.537
-5	0.530474	0.0692666	8319.21	-6350.55	347.105	292.741
-4	0.373555	0.0429109	8295.28	-6325.66	281.232	246.111
-3	0.256642	0.0359088	8346.69	-6315.97	310.043	267.263
-2	0.15844	0.0213429	8367.7	-6332.91	313.505	258.521
-1	0.0773712	0.0116771	8418.47	-6372.73	343.142	277.331
0	-0.00322381	0.00438271	8386.7	-6323.57	333.939	265.413
1	-0.0824681	0.0121479	8369.2	-6321.18	329.075	276.857
2	-0.168772	0.0240488	8343.66	-6283.18	310.133	281.435
3	-0.263208	0.0372174	8345.66	-6362.48	303.359	267.172
4	-0.395529	0.0437522	8385.39	-6355.26	354.831	281.229
5	-0.541744	0.0681525	8329.65	-6358.7	325.571	304.343
6	-0.723752	0.0838813	8279.27	-6358.34	313.555	267.413
7	-0.93604	0.114548	8252.6	-6389.59	338.112	310.588
8	-1.20649	0.145548	8188.84	-6353.25	307.061	263.643
9	-1.50339	0.157883	8180.7	-6371.43	355.904	300.583
10	-1.87281	0.173552	8197.74	-6397.34	306.705	270.609
11	-2.23164	0.209813	8128.76	-6430.56	349.825	294.392
12	-2.70961	0.278213	8093.49	-6452.59	357.219	302.671
13	-3.22426	0.278955	8070.28	-6474.37	332.507	295.828
14	-3.73872	0.325607	8056.11	-6544.29	293.143	244.147
15	-4.39998	0.364052	7974.88	-6506.77	330.095	281.446
16	-5.22686	0.472165	7950.48	-6516.88	322.946	296.101
17	-5.91719	0.471468	7931.63	-6525.77	318.641	260.532
18	-6.75805	0.59485	7895.33	-6579.53	327.488	293.864
19	-7.60353	0.531563	7886.72	-6628.95	325.677	271.111
20	-8.48345	0.638882	7788.6	-6594.8	335.679	277.999
21	-9.55868	0.694885	7777.41	-6609.75	286.563	275.833
22	-10.6398	0.717644	7710.03	-6631.08	350.54	314.38
23	-11.8316	0.763892	7671.64	-6645.27	300.877	299.205
24	-12.9604	0.736057	7662.9	-6672.02	287.664	261.843
25	-14.3601	0.845233	7599.02	-6695.93	334.414	294.791
26	-15.72
