#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	70.1715	0.817166	424.538	-443.61	74.886	71.7672
-49	68.4932	0.864308	435.557	-437.613	76.4185	75.1334
-48	66.7833	0.881865	443.044	-443.208	71.7412	67.4995
-47	65.1411	0.890283	425.461	-424.457	76.0719	63.9207
-46	63.2332	0.955465	432.043	-443.728	79.2629	82.5832
-45	61.6983	1.01598	439.96	-421.975	74.9101	70.9178
-44	59.952	0.955922	430.773	-424.284	80.2346	74.3799
-43	58.1205	1.13827	445.606	-443.245	71.8231	73.0216
-42	56.2371	1.15315	453.078	-437.981	70.055	64.2146
-41	54.6649	1.10171	456.21	-433.72	71.1369	66.98
-40	52.8117	1.21951	465.165	-441.269	80.5535	87.04
-39	51.1602	1.28794	470.006	-435.227	73.9608	73.115
-38	49.3595	1.24144	468.383	-437.962	76.3352	65.0307
-37	47.3371	1.36718	475.506	-440.879	79.8805	79.365
-36	45.6116	1.21346	480.282	-445.176	75.5673	76.411
-35	44.134	1.29568	489.746	-435.769	86.2822	75.3658
-34	42.3934	1.38534	482.9	-436.513	84.7395	78.1809
-33	40.4513	1.38529	495.63	-437.356	75.4131	64.3179
-32	38.8318	1.58939	513.945	-444.156	82.7054	82.8973
-31	36.7882	1.48385	527.389	-441.827	93.2286	83.652
-30	35.3564	1.50413	527.171	-449.07	91.0772	76.0552
-29	33.9097	1.44497	532.624	-438.8	80.1673	66.4752
-28	31.961	1.55098	555.26	-459.682	82.7554	65.0051
-27	30.4513	1.51167	552.051	-430.994	91.7992	71.8105
-26	28.719	1.60552	576.477	-451.928	86.4853	71.2915
-25	27.241	1.52127	567.158	-435.712	74.0815	71.5731
-24	25.7803	1.45782	573.34	-448.202	88.9741	78.2532
-23	24.3721	1.57886	582.165	-436.959	90.465	84.2823
-22	22.9561	1.44801	610.696	-455.284	101.918	71.6833
-21	21.6156	1.28529	606.202	-445.572	90.7674	71.9527
-20	20.0203	1.44938	631.401	-450.916	97.7815	79.6892
-19	18.6809	1.32761	634.743	-461.653	95.2168	81.077
-18	17.5584	1.18831	636.466	-449.793	96.9346	80.3148
-17	16.3518	1.05182	660.624	-463.576	94.6413	65.3455
-16	14.9402	1.00764	643.347	-460.172	92.1956	76.8636
-15	13.9229	1.11273	646.59	-459.324	106.174	82.546
-14	12.5561	1.00272	672.989	-483.329	104.366	78.4112
-13	11.3124	0.9938	684.008	-489.881	98.8768	69.4751
-12	10.2555	0.841756	693.178	-499.827	89.4969	78.8968
-11	9.14926	0.687801	682.068	-494.754	99.1005	79.9108
-10	8.04154	0.595597	714.06	-520.06	99.224	77.3904
-9	6.93839	0.604461	709.362	-518.292	98.6298	80.1024
-8	5.91715	0.541835	695.817	-523.448	111.7	97.7934
-7	4.99702	0.383262	695.163	-543.083	95.7736	86.3051
-6	4.07708	0.322062	714.228	-567.096	112.573	89.6594
-5	3.16705	0.267082	703.351	-563.402	109.389	93.4699
-4	2.4846	0.202304	689.106	-556.57	106.816	94.119
-3	1.74327	0.168125	700.292	-581.242	96.0155	85.4121
-2	1.1436	0.0952612	710.997	-590.637	103.835	92.6412
-1	0.559221	0.0521306	707.997	-598.335	94.6179	87.0577
0	0.0157909	0.00275738	706.443	-582.413	103.676	96.8566
1	-0.560726	0.050265	680.381	-563.87	101.987	90.1036
2	-1.21227	0.110004	693.427	-562.273	114.221	98.9992
3	-1.95495	0.16897	681.727	-535.294	97.4781	85.863
4	-2.78378	0.235285	672.798	-522.919	103.063	80.6804
5	-3.75639	0.32407	652.127	-514.485	96.8799	84.7068
6	-4.72395	0.360251	627.755	-484.559	84.5964	63.8255
7	-5.92816	0.47113	617.08	-493.416	84.6029	76.5403
8	-7.06581	0.519318	605.336	-490.778	104.223	88.6641
9	-8.34314	0.536558	576.268	-467.306	88.034	81.6535
10	-9.7042	0.518058	560.234	-473.847	85.8195	83.2933
11	-11.1031	0.594873	548.188	-463.765	83.3752	72.3775
12	-12.6731	0.656108	538.066	-466.281	84.0879	69.1361
13	-14.0571	0.667976	507.562	-452.754	83.1982	77.0279
14	-15.7881	0.659549	493.381	-457.671	77.9573	75.3333
15	-17.2451	0.642554	489.539	-452.161	71.5036	69.4246
16	-19.0504	0.626305	484.971	-450.366	70.7265	70.1631
17	-20.5839	0.627933	471.567	-449.845	68.8246	67.9828
18	-22.2639	0.713889	463.629	-449.874	78.4805	76.905
19	-23.8552	0.693928	452.751	-444.78	84.6823	89.366
20	-25.4589	0.620077	458.22	-443.797	83.9696	78.1562
21	-27.0336	0.564527	453.021	-440.233	76.8404	80.3636
22	-28.6176	0.623296	451.172	-448.658	77.35	79.5284
23	-30.3495	0.526043	445.809	-436.851	73.2104	75.8729
24	-31.9701	0.515204	452.896	-448.444	76.5151	81.7446
25	-33.5801	0.570761	441.524	-439.386	80.8324	80.3949
26	-35.1442	0.509822	447.751	-450.604	71.6435	78.8862
27	-36.7737	0.567328	424.713	-436.312	64.7603	76.1111
28	-38.3888	0.485216	434.108	-432.613	77.3097	76.6256
29	-39.9992	0.497857	434.019	-428.913	70.9207	71.5084
30	-41.6393	0.458263	433.877	-428.605	68.8312	64.5002
31	-43.1314	0.388873	436.091	-441.512	80.1266	78.6046
32	-44.811	0.44288	420.984	-437.768	66.2466	68.7699
33	-46.3252	0.469201	419.208	-421.369	84.3355	80.3416
34	-47.8555	0.469287	447.217	-442.884	81.7696	79.4102
35	-49.5469	0.432002	430.145	-438.336	71.5582	71.3598
36	-51.2078	0.405907	420.56	-430.054	74.021	76.3439
37	-52.7401	0.457381	422.219	-435.899	78.1103	74.1744
38	-54.3309	0.431572	429.98	-439.134	77.4431	81.3515
39	-55.9022	0.398258	433.595	-440.978	77.2228	75.3688
40	-57.5008	0.423047	421.393	-425.994	74.6126	73.4063
41	-59.0754	0.383582	428.042	-435.686	63.8791	75.8791
42	-60.5635	0.381543	421.185	-435.364	64.8968	66.8346
43	-62.1185	0.382418	438.826	-450.365	75.1809	75.666
44	-63.7095	0.316012	424.221	-439.035	68.8714	78.073
45	-65.344	0.288787	421.526	-435.665	68.0537	71.0555
46	-66.9364	0.385631	423.108	-431.51	70.1364	73.8705
47	-68.4826	0.375216	425.837	-429.567	65.1382	69.1268
48	-70.0993	0.349793	419.327	-427.925	69.2486	75.2809
49	-71.6011	0.358597	424.287	-438.404	75.1211	75.8979
50	-73.2145	0.321367	416.633	-432.291	70.065	72.05

#a = 0.250000 V = 40.000000 #N_heads = 1   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 34758.420340
