#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	69.4207	0.281113	4621.8	-4412.07	260.898	251.089
-40	52.2361	0.410858	4928.25	-4410.83	238.032	227.791
-30	34.7674	0.478241	5660.1	-4473.39	287.908	246.902
-20	19.7723	0.412921	6691.95	-4625.22	308.03	246.596
-10	7.93334	0.207223	7315.14	-5170.2	370.957	297.787
0	0.000330405	0.000942061	7265.22	-5907.73	334.085	306.91
10	-9.67131	0.172455	5845.69	-4740.62	318.117	263.535
20	-25.3298	0.18918	4740.08	-4504.47	260.102	247.161
30	-41.3612	0.165934	4536.76	-4427.95	243.658	239.853
40	-57.1446	0.133394	4472.6	-4411.24	244.089	257.624
50	-72.7933	0.137984	4407.58	-4408.7	242.822	258.793

#a = 0.250000	V = 40.000000	#N_heads = 1	c = 0.300000	N = 128	dt = 0.001000	time = 10000000.000000
#CPU_time = 468795.500028
