#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	69.462	0.307217	4653.2	-4404.83	284.536	263.736
-40	52.236	0.396353	4986.71	-4447.89	282.092	231.545
-30	34.7274	0.537282	5699.39	-4499.66	282.03	233.021
-20	19.7521	0.517897	6687.55	-4618.99	301.133	242.442
-10	7.92454	0.228123	7348.1	-5168.05	368.76	275.4
0	0.000117348	0.000928004	7307.71	-5912.55	305.958	280.113
10	-9.64976	0.181986	5873.14	-4762.05	282.461	238.466
20	-25.3176	0.179823	4731.62	-4500.72	275.695	242.699
30	-41.341	0.163306	4562.88	-4447.53	248.719	253.994
40	-57.1318	0.144408	4456.35	-4391.45	237.833	239.022
50	-72.7496	0.127681	4430.29	-4399	234.133	242.638

#a = 0.250000	V = 40.000000	#N_heads = 1	c = 0.300000	N = 128	dt = 0.000200	time = 10000000.000000
#CPU_time = 2382113.359634
