#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-100	144.285	0.270053	8765.41	-8726.3	343.923	317.853
-80	111.231	0.367824	8825.21	-8715.07	342.306	302.99
-60	75.7897	0.626597	9392.82	-8852.85	334.005	337.168
-40	38.8586	0.59651	10846.5	-9159.86	385.467	359.118
-20	10.6907	0.427	13736	-10336.5	480.595	392.54
0	0.000913004	0.000425611	14412.3	-12792.3	423.528	391.891
20	-18.3094	0.295466	10319.7	-9261.45	349.284	316.7
40	-52.1128	0.255235	8960.14	-8865.16	340.907	346.352
60	-84.5304	0.187936	8731.83	-8747.69	336.589	344.196
80	-116.132	0.158328	8697.62	-8685.31	333.622	345.305
100	-147.31	0.12341	8642.79	-8692.55	298.424	295.892

#a = 0.250000 V = 40.000000 #N_heads = 2   c = 0.300000       N = 128     time = 10000000.000000
#CPU_time = 285551.629876
