#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-100	132.286	0.00606485	0	0	0	0
-96	125.075	0.00627874	0	0	0	0
-92	117.733	0.00703873	0	0	0	0
-88	110.245	0.00663368	0	0	0	0
-84	102.6	0.00587835	0	0	0	0
-80	94.7733	0.00675752	0	0	0	0
-76	86.7481	0.00719564	0	0	0	0
-72	78.4898	0.00719035	0	0	0	0
-68	69.9605	0.00755602	0	0	0	0
-64	61.1151	0.00761997	0	0	0	0
-60	51.913	0.00690234	0	0	0	0
-56	42.3302	0.00760158	0	0	0	0
-52	32.4428	0.00800479	0	0	0	0
-48	22.594	0.00860907	0	0	0	0
-44	13.6277	0.00798237	0	0	0	0
-40	6.76625	0.00658381	0	0	0	0
-36	2.69771	0.00444019	0	0	0	0
-32	0.880569	0.00287626	0	0	0	0
-28	0.245461	0.00142981	0	0	0	0
-24	0.0606634	0.000730776	0	0	0	0
-20	0.0136954	0.000317083	0	0	0	0
-16	0.00286779	0.000145778	0	0	0	0
-12	0.000551245	6.59244e-05	0	0	0	0
-8	0.000102737	2.9007e-05	0	0	0	0
-4	1.859e-05	1.21526e-05	0	0	0	0
0	4.19931e-06	6.34082e-06	0	0	0	0
4	-1.30195e-05	1.24624e-05	0	0	0	0
8	-9.08436e-05	2.89993e-05	0	0	0	0
12	-0.000546912	6.06325e-05	0	0	0	0
16	-0.00285358	0.000146455	0	0	0	0
20	-0.0137421	0.000322432	0	0	0	0
24	-0.0608025	0.000709774	0	0	0	0
28	-0.245139	0.00149204	0	0	0	0
32	-0.880243	0.00271558	0	0	0	0
36	-2.69811	0.00492416	0	0	0	0
40	-6.76651	0.00629018	0	0	0	0
44	-13.6266	0.00761322	0	0	0	0
48	-22.5971	0.00881937	0	0	0	0
52	-32.4435	0.00850879	0	0	0	0
56	-42.3306	0.00803694	0	0	0	0
60	-51.9137	0.00753588	0	0	0	0
64	-61.1165	0.00712517	0	0	0	0
68	-69.9591	0.00733416	0	0	0	0
72	-78.4879	0.00766011	0	0	0	0
76	-86.7494	0.00678946	0	0	0	0
80	-94.7751	0.00704489	0	0	0	0
84	-102.599	0.00620651	0	0	0	0
88	-110.245	0.00597615	0	0	0	0
92	-117.733	0.00655445	0	0	0	0
96	-125.076	0.00576894	0	0	0	0
100	-132.286	0.00581688	0	0	0	0

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 24747.921316
