#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-100	149.858	0.00416494	0	0	0	0
-96	143.708	0.00477291	0	0	0	0
-92	137.551	0.00506549	0	0	0	0
-88	131.384	0.00475998	0	0	0	0
-84	125.209	0.00466276	0	0	0	0
-80	119.023	0.00482207	0	0	0	0
-76	112.825	0.00450871	0	0	0	0
-72	106.612	0.00507156	0	0	0	0
-68	100.383	0.00405156	0	0	0	0
-64	94.1305	0.00459532	0	0	0	0
-60	87.8563	0.00509433	0	0	0	0
-56	81.5513	0.00488122	0	0	0	0
-52	75.2107	0.00456745	0	0	0	0
-48	68.8267	0.00464725	0	0	0	0
-44	62.3862	0.00553022	0	0	0	0
-40	55.8746	0.00547967	0	0	0	0
-36	49.2729	0.00463423	0	0	0	0
-32	42.5485	0.00575652	0	0	0	0
-28	35.6659	0.00594147	0	0	0	0
-24	28.5782	0.00610252	0	0	0	0
-20	21.2713	0.00565404	0	0	0	0
-16	13.9051	0.00608199	0	0	0	0
-12	7.20244	0.00548969	0	0	0	0
-8	2.56014	0.00368437	0	0	0	0
-4	0.559334	0.00215592	0	0	0	0
0	8.23987e-06	0.00112226	0	0	0	0
4	-0.559679	0.0021705	0	0	0	0
8	-2.56016	0.00416336	0	0	0	0
12	-7.20216	0.00635637	0	0	0	0
16	-13.9066	0.00665714	0	0	0	0
20	-21.2698	0.00608616	0	0	0	0
24	-28.5786	0.00557162	0	0	0	0
28	-35.6651	0.00534393	0	0	0	0
32	-42.5492	0.00496098	0	0	0	0
36	-49.2727	0.00478074	0	0	0	0
40	-55.8747	0.00569634	0	0	0	0
44	-62.3852	0.0052165	0	0	0	0
48	-68.8262	0.00536014	0	0	0	0
52	-75.2118	0.00528903	0	0	0	0
56	-81.5516	0.00524209	0	0	0	0
60	-87.8565	0.00558174	0	0	0	0
64	-94.1305	0.0047426	0	0	0	0
68	-100.381	0.00512656	0	0	0	0
72	-106.613	0.00422778	0	0	0	0
76	-112.825	0.00493092	0	0	0	0
80	-119.023	0.00449385	0	0	0	0
84	-125.209	0.0043049	0	0	0	0
88	-131.385	0.00488211	0	0	0	0
92	-137.55	0.00455129	0	0	0	0
96	-143.708	0.00432842	0	0	0	0
100	-149.859	0.00463817	0	0	0	0

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 25231.190283
