#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	220.849	1.60204	173.464	-176.659	45.5031	50.2986
-144	211.532	1.52071	178.297	-181.189	51.8768	53.2398
-138	201.904	1.53147	180.321	-175.035	48.7063	51.8794
-132	193.01	1.75262	167.461	-166.169	43.2341	44.7598
-126	183.242	1.75769	168.982	-168.454	48.9711	44.5237
-120	173.264	2.13093	173.068	-179.28	49.9092	50.4706
-114	163.489	2.13228	180.544	-185.278	47.8404	45.3521
-108	153.887	2.26033	178.345	-175.464	53.3135	48.1575
-102	144.421	2.53347	173.086	-180.176	45.1547	45.343
-96	133.885	2.74947	181.051	-178.493	44.7885	51.8062
-90	123.816	2.93429	176.931	-176.853	49.5501	48.5717
-84	114.331	3.01805	165.806	-176.258	40.7546	42.8179
-78	102.885	4.05793	177.143	-177.586	58.7682	54.9727
-72	91.5567	4.83113	166.835	-176.955	50.3117	56.5945
-66	78.7725	6.45632	169.208	-169.026	45.7993	44.3692
-60	59.5467	10.8774	194.788	-173.9	50.0551	51.4714
-54	50.1498	8.89537	190.311	-169.876	46.3814	46.5978
-48	39.5328	9.53981	200.734	-167.464	48.6943	43.5092
-42	30.3978	7.55365	195.862	-162.825	56.8813	50.4911
-36	13.3353	6.60247	238.548	-172.881	53.8562	48.4799
-30	8.19872	4.63649	227.611	-172.017	57.9147	46.8256
-24	5.31272	3.90824	262.532	-189.089	61.7701	52.2551
-18	3.0878	1.95044	279.023	-185.188	68.0072	53.1563
-12	5.96435e-05	4.51147e-05	275.919	-192.224	64.2178	48.7778
-6	6.33895e-05	3.77361e-05	287.715	-198.969	64.5072	49.8668
0	4.56037e-05	2.84665e-05	269.114	-224.208	65.0129	54.3439
6	3.09141e-05	3.62181e-05	283.139	-237.906	60.1106	50.4426
12	3.29596e-05	3.4347e-05	256.616	-241.342	64.2001	57.1933
18	-2.67751	1.61368	243.265	-219.031	62.1944	59.3191
24	-8.20908	3.49231	235.325	-194.519	58.3559	46.1003
30	-19.1409	4.94194	196.523	-183.656	52.634	47.7586
36	-31.0375	5.65912	201.98	-178.73	55.6302	49.8754
42	-43.5716	4.80101	174.31	-173.162	48.5865	51.0376
48	-56.0745	3.86328	170.462	-176.204	50.3605	50.6822
54	-66.5017	3.53951	170.501	-176.336	44.2383	48.2015
60	-76.6429	2.98307	174.314	-181.401	48.7869	53.5409
66	-87.5592	2.95397	176.72	-175.132	43.6869	48.7283
72	-97.8581	2.63165	174.35	-175.402	48.2349	50.7877
78	-107.763	2.35778	165.06	-163.927	45.7782	40.4822
84	-117.702	2.2918	167.02	-171.211	47.0549	49.9525
90	-126.961	2.06491	169.976	-182.485	43.0302	46.2843
96	-137.034	2.17455	173.783	-176.502	44.686	40.4265
102	-146.733	1.6279	167.426	-173.303	49.3904	47.6338
108	-155.963	1.64896	173.166	-171.054	49.0113	49.9538
114	-165.316	1.57195	173.316	-173.572	43.2741	40.2304
120	-175.035	1.45579	171.692	-175.013	46.5049	47.5773
126	-184.661	1.38691	161.81	-161.816	44.1413	50.2533
132	-193.927	1.44143	173.661	-177.063	49.7352	44.1559
138	-203.429	1.42425	180.009	-182.944	47.5475	47.7415
144	-212.569	1.16832	176.779	-171.549	47.6713	41.1985
150	-221.743	1.11217	173.042	-176.291	48.6147	46.2457

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 100000.000000
#CPU_time = 30844.009583
