#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	221.004	1.22191	179.572	-179.799	44.1747	56.5876
-144	211.661	1.44126	173.728	-172.93	49.7623	46.0976
-138	202.109	1.62709	171.105	-172.475	47.1163	43.483
-132	192.736	1.79048	173.203	-178.051	48.8375	50.6654
-126	183.175	1.90412	164.224	-171.445	46.4757	48.4002
-120	173.736	1.81834	180.858	-182.518	48.7673	48.2392
-114	163.951	1.9846	169.665	-171.93	52.5543	47.372
-108	154.141	2.31701	173.675	-177.561	53.3668	49.94
-102	144.229	2.26982	171.188	-170.146	46.8242	43.0869
-96	135.005	2.27576	176.631	-177.251	51.7414	52.3598
-90	125.099	2.75335	175.429	-170.041	47.2443	45.1183
-84	114.656	3.16027	175.538	-185.051	45.5977	51.5916
-78	103.941	3.80762	179.619	-175.369	48.2712	52.1121
-72	93.336	3.94417	180.563	-172.356	49.78	51.1095
-66	82.2097	4.76058	181.897	-178.914	51.9126	53.4753
-60	71.3309	4.63443	180.333	-176.793	46.8616	44.5228
-54	59.6937	5.62541	182.009	-169.607	49.6348	42.9261
-48	48.917	6.01107	188.339	-175.019	53.54	48.2276
-42	37.6871	6.56632	192.384	-170.984	56.079	53.9918
-36	26.7321	5.43036	206.658	-169.515	43.4502	38.4913
-30	15.7333	4.75781	234.421	-182.577	61.8872	54.772
-24	8.47887	3.63658	238.461	-184.573	63.7552	50.0388
-18	4.5246	2.11118	253.969	-191.688	60.2754	50.8455
-12	1.51696	0.903399	266.229	-210.122	58.7119	56.9848
-6	0.260445	0.142697	268.508	-207.735	58.129	51.5929
0	0.00020802	0.00172221	275.625	-230.978	58.0122	54.9671
6	-0.258547	0.158561	259.396	-227.638	61.1592	51.6421
12	-1.92761	0.980201	232.215	-207.056	57.3818	51.2151
18	-5.81902	2.17342	237.568	-207.392	55.924	48.1083
24	-12.8804	3.54154	219.142	-196.545	51.0486	48.6322
30	-23.6586	4.0218	196.769	-177.844	53.058	48.613
36	-34.0083	5.02128	196.857	-179.124	54.4002	55.4347
42	-45.0742	4.19621	178.951	-172.645	52.1807	49.959
48	-56.9826	3.83654	179.964	-177.157	46.9437	50.7612
54	-67.6338	3.32657	169.114	-172.559	46.8843	53.2135
60	-78.1391	2.88587	168.724	-169.393	47.8863	51.7961
66	-87.6514	2.88219	180.963	-185.689	51.7285	51.3765
72	-97.8064	2.52129	179.482	-178.882	48.7245	51.3019
78	-107.873	2.17707	180.261	-171.555	55.0814	47.7361
84	-117.62	2.1195	176.035	-172.169	40.2679	41.8166
90	-127.429	1.84287	170.857	-172.676	51.3621	53.4585
96	-137.105	1.57282	181.433	-173.614	48.2981	46.1225
102	-146.579	1.73221	180.453	-178.984	48.1845	44.204
108	-156.432	1.47057	170.587	-170.254	52.3612	52.0593
114	-165.471	1.58889	179.839	-181.003	48.0118	51.097
120	-175.131	1.52123	169.145	-171.495	43.7147	45.852
126	-184.658	1.53339	173.671	-171.191	48.9959	47.0918
132	-193.884	1.28238	166.281	-173.199	43.4029	45.7811
138	-203.117	1.29025	183.991	-178.581	43.3377	37.4475
144	-212.504	1.1324	168.61	-168.95	48.2087	51.928
150	-221.768	1.2363	176.232	-173.79	54.3602	52.2597

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 100000.000000
#CPU_time = 30982.963239
