#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	223.906	0.318574	1640.67	-1711.82	140.653	135.014
-144	214.443	0.325375	1645.98	-1709.02	131.866	137.814
-138	204.886	0.361434	1650.49	-1705.64	129.383	136.431
-132	195.37	0.383789	1642.79	-1730.74	139.694	148.391
-126	185.789	0.456061	1632.85	-1713.92	153.747	165.294
-120	176.237	0.507069	1633.34	-1708.43	142.703	147.249
-114	166.621	0.512033	1661.43	-1714.59	148.133	156.616
-108	156.826	0.582337	1646.9	-1718.27	153.558	143.993
-102	146.966	0.685887	1669.91	-1721.36	146.822	152.436
-96	137.057	0.659236	1657.18	-1706.2	143.438	146.107
-90	126.944	0.877526	1647.05	-1698.14	139.447	152.48
-84	116.777	0.867981	1675.56	-1724.08	162.017	142.596
-78	106.177	0.929583	1679	-1720.71	155.966	152.102
-72	95.281	1.30135	1681.26	-1734.76	164.774	139.735
-66	84.3804	1.37584	1705.86	-1731.99	147.747	152.228
-60	72.8468	1.48005	1718.96	-1707.87	161.327	164.624
-54	61.4566	1.79019	1781.21	-1736.5	167.594	159.539
-48	49.2147	1.86057	1837.8	-1756.3	152.597	162.937
-42	37.7934	1.99953	1944.34	-1746.19	165.878	151.386
-36	26.8072	1.7944	2086.26	-1789.28	175.602	156.248
-30	17.4441	1.67992	2197.25	-1778.53	183.859	145.304
-24	9.56856	1.15395	2330.45	-1819.87	175.467	139.05
-18	4.84372	0.802046	2437.76	-1884.71	178.617	157.17
-12	1.72734	0.297879	2539.28	-2007.02	176.108	163.882
-6	0.27955	0.0495543	2616.01	-2175.21	216.924	189.074
0	0.000989966	0.000506507	2583.76	-2260.68	187.069	181.554
6	-0.280171	0.0568064	2536.71	-2255.21	162.088	158.303
12	-1.79688	0.294036	2457.02	-2180.04	180.309	164.543
18	-5.95475	0.690623	2299.1	-2056.76	152.004	138.755
24	-13.217	1.14176	2092.55	-1900.02	180.284	149.751
30	-23.1644	1.51427	1967.08	-1836.24	153.796	135.329
36	-34.3564	1.4468	1847.14	-1793.83	155.782	164.043
42	-46.1227	1.46983	1745.08	-1742.96	151.138	143.617
48	-57.4033	1.13666	1732.7	-1754.79	136.283	138.748
54	-68.1459	1.04744	1690.05	-1734.48	143.343	168.055
60	-79.1527	0.924636	1679.92	-1704.73	137.43	144.572
66	-89.4418	0.81373	1658.86	-1701.17	133.119	146.535
72	-99.4252	0.9095	1663.41	-1705.24	151.127	173.337
78	-109.452	0.612599	1663.45	-1713.86	139.213	136.202
84	-119.335	0.684374	1636.31	-1690.22	140.292	141.103
90	-129.039	0.530126	1646.89	-1694.53	143.277	143.997
96	-138.762	0.519584	1658.47	-1717.53	157.881	148.316
102	-148.38	0.476423	1670.16	-1735	152.335	155.974
108	-158.069	0.401022	1664.34	-1705.84	145.011	152.969
114	-167.639	0.396355	1645.6	-1715.9	150.207	138.511
120	-177.231	0.421504	1673.34	-1733.26	131.8	143.25
126	-186.747	0.340606	1639.51	-1701.58	138.023	137.981
132	-196.291	0.32613	1633.31	-1701.89	124.919	151.822
138	-205.81	0.281417	1656.43	-1721.77	149.34	138.25
144	-215.202	0.228141	1645.42	-1704.23	142.791	138.656
150	-224.718	0.281814	1667.62	-1717.95	111.589	138.041

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 22484.359403
