#c	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
0	0.000452108	0.00401187	695.532	-280.557	92.4764	69.5454
0.1	-0.000267944	0.00413864	688.988	-390.471	92.3545	75.5584
0.2	0.00100005	0.00313712	737.786	-527.137	102.151	82.6639
0.3	0.000772447	0.00280269	732.947	-597.68	109.764	95.7624
0.4	0.000504614	0.00226864	744.517	-662.757	109.017	102.805
0.5	0.000573225	0.00173094	761.476	-709.121	110.897	98.7719
0.6	0.000756283	0.00134292	762.61	-736.177	117.21	110.747
0.7	0.000514568	0.000942281	790.717	-777.384	117.365	112.146
0.8	0.000428261	0.000591686	798.342	-794.714	111.139	108.564
0.9	0.000275234	0.000554228	817.258	-817.234	113.42	113.753
1	0.000211143	0.000415442	821.104	-820.8	99.3941	99.0686

#a = 0.250000 V = 40.000000 #N_heads = 1	N = 100     time = 1000000.000000
#CPU_time = 38864.695126
