#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
0	-6.64898e-05	0.000589254	2605.98	-2239.86	189.529	174.258
0.01	-0.000101227	0.000447528	2624.07	-2254.43	185.255	178.525
0.02	-0.000366682	0.000432986	2639.46	-2271.87	201.819	178.817
0.03	-0.000509919	0.000382627	2648.21	-2270.52	207.469	196.176
0.04	-0.000592472	0.000543946	2638.18	-2272.54	172.598	145.508
0.05	-0.000843533	0.00050219	2656.68	-2277.61	198.24	192.025
0.06	-0.000989814	0.000556143	2648.32	-2267.48	176.613	152.622
0.07	-0.00127316	0.000555868	2591.26	-2228.86	202.603	175.044
0.08	-0.00127023	0.000513531	2654.47	-2272.61	189.694	167.805
0.09	-0.00156997	0.000629677	2602.37	-2239.19	166.911	138.842
0.1	-0.00173521	0.000672813	2589.82	-2232.5	171.155	153.892

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 43073.290280
