#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
0	0.00086732	0.000553018	2583.47	-2255.82	191.49	179.849
0.01	0.000754858	0.00049526	2570.74	-2248.36	170.483	157.105
0.02	0.000611104	0.000557714	2570.83	-2248.73	200.482	173.297
0.03	0.000393216	0.00050219	2617.75	-2280.25	157.449	156.653
0.04	0.000241038	0.000494954	2610.13	-2295.11	188.372	170.901
0.05	0.0001258	0.000622086	2595.7	-2257.57	159.721	154.712
0.06	-0.000205082	0.000611081	2547.32	-2218.64	225.955	198.231
0.07	-0.000425964	0.000648307	2593.06	-2272.21	170.404	155.391
0.08	-0.000441503	0.000541879	2590	-2261.33	211.015	199.401
0.09	-0.000604739	0.000562136	2551.48	-2238.58	208.93	192.31
0.1	-0.00085347	0.000690693	2570.73	-2257.35	181.134	167.315

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 4967.091671
