#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
0	4.88591e-06	2.2635e-06	2802.48	-2345.66	217.404	183.397
0.01	3.8503e-06	3.27502e-06	2781.88	-2335.59	198.026	167.067
0.02	3.92516e-06	3.21335e-06	2762.32	-2299.56	167.336	141.328
0.03	4.17161e-06	3.10898e-06	2732.63	-2292.89	215.401	173.828
0.04	3.8902e-06	3.23905e-06	2770.51	-2309.34	203.707	166.747
0.05	3.66154e-06	3.33939e-06	2754.94	-2305.22	201.832	170.917
0.06	4.16443e-06	2.84529e-06	2788.83	-2325.28	211.446	178.158
0.07	3.86374e-06	3.41167e-06	2787.22	-2322.45	205.944	181.95
0.08	3.55597e-06	3.5172e-06	2804	-2342.75	185.481	162.959
0.09	3.91039e-06	3.08961e-06	2767.53	-2309.34	223.107	192.62
0.1	3.75334e-06	3.45476e-06	2760.57	-2298.29	194.349	164.392

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 57426.267049
