#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
0	0.000265077	0.000748769	2617.4	-2240.77	190.171	165.125
0.01	-0.000246617	0.000760129	2647.1	-2267.61	170.911	157.601
0.02	-0.000738296	0.000889594	2614.01	-2248.22	207.698	180.306
0.03	-0.0011944	0.000861614	2617.91	-2241.6	152.021	138.678
0.04	-0.00141799	0.000900122	2609.73	-2238.91	163.037	154.787
0.05	-0.00193467	0.000983483	2608.4	-2238.42	183.399	162.163
0.06	-0.0023366	0.000862252	2607.61	-2233.82	174.198	158.639
0.07	-0.00255917	0.000941546	2619.8	-2256.81	200.088	170.851
0.08	-0.0031413	0.00102952	2653.48	-2279.09	206.516	184.643
0.09	-0.00318081	0.000925257	2619.04	-2245.73	172.573	158.26
0.1	-0.00386488	0.00118536	2601.92	-2232.92	178.579	158.857

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 58952.944755
