#F	x1	dx1	x2	dx2	xm	dxm	Q_in	dQ_in	Q_out	dQ_out
-150.000000	152.347616	0.174208	-152.327283	0.189001	-6182.378925	273900.435502	3329.894218	-3420.500567	213.676589	220.802719
-144.000000	146.015117	0.187484	-146.010636	0.216701	-23.579419	304410.548771	3286.794187	-3380.009446	179.123131	197.964533
-138.000000	139.674565	0.191383	-139.652514	0.201626	-3817.521551	295332.521475	3300.837329	-3431.896952	217.538721	207.908034
-132.000000	133.350904	0.223776	-133.336329	0.202998	-33052.723394	330492.835269	3338.484827	-3420.756725	211.857451	229.353970
-126.000000	126.950998	0.224190	-126.918709	0.209566	-3110.311596	369405.924350	3363.894438	-3509.485197	210.484702	212.976770
-120.000000	120.609872	0.245193	-120.603119	0.244316	-11847.715562	377204.945277	3328.742712	-3454.556888	203.341143	207.939561
-114.000000	114.196522	0.264031	-114.170598	0.248939	-14800.631464	397013.477576	3297.112528	-3424.238159	210.870041	223.853474
-108.000000	107.816603	0.312455	-107.819475	0.263500	-4350.952681	426999.788349	3370.088309	-3451.128026	203.916918	226.998434
-102.000000	101.412567	0.322391	-101.332720	0.293329	-54658.815306	500201.519117	3367.499404	-3439.748130	209.864839	205.864429
-96.000000	94.888335	0.301083	-94.980776	0.306899	32310.972551	484984.924155	3362.979476	-3446.590903	219.793573	208.972437
-90.000000	88.391019	0.331968	-88.514527	0.383909	117859.620059	608068.872019	3371.715044	-3459.701213	212.699338	223.697413
-84.000000	81.995269	0.358440	-81.866555	0.352095	-85176.423790	568669.925171	3397.762931	-3498.047849	206.016999	234.272739
-78.000000	75.344367	0.405551	-75.413474	0.395874	28013.004907	652753.497548	3362.766309	-3429.899927	221.556801	224.618830
-72.000000	68.863633	0.502208	-68.839102	0.464700	-71146.591387	785478.854864	3370.604308	-3440.270210	184.395082	203.179449
-66.000000	62.082864	0.446714	-62.155779	0.435196	23539.115295	753564.818112	3454.969681	-3484.522280	214.370702	242.800961
-60.000000	55.538701	0.477238	-55.370822	0.546948	-98327.776881	806984.747787	3503.694050	-3521.539871	172.745676	187.071216
-54.000000	48.785826	0.502445	-48.753750	0.550776	22168.898746	880465.315870	3539.857799	-3518.891802	206.624574	222.117483
-48.000000	42.118445	0.596488	-42.047874	0.608231	86561.955114	946122.249271	3655.175905	-3566.606905	214.248358	208.169183
