#F	x1	dx1	x2	dx2	xm	dxm	Q_in	dQ_in	Q_out	dQ_out
-150.000000	153.488573	0.100473	-153.493986	0.110202	3011.873384	147360.566921	1652.630242	-1694.268567	138.212402	126.326390
-144.000000	147.239574	0.111512	-147.234547	0.114919	-8663.341989	186225.013669	1675.692870	-1733.669542	139.105314	127.751787
-138.000000	140.945929	0.133974	-140.959789	0.128973	-3681.219505	194199.495577	1639.091078	-1721.612430	152.253448	164.167361
-132.000000	134.689108	0.137652	-134.680041	0.136395	7720.202198	218351.699104	1644.486917	-1703.145144	133.500856	139.355447
-126.000000	128.399177	0.145202	-128.400529	0.143030	6786.489567	202116.437994	1653.340500	-1697.906125	140.013142	125.008912
-120.000000	122.112448	0.139034	-122.142475	0.130593	19595.411804	207843.892843	1620.533973	-1694.550307	144.220336	144.360504
-114.000000	115.850026	0.183439	-115.865648	0.160604	24406.402963	234819.997799	1642.361831	-1693.784618	142.492339	144.259970
-108.000000	109.567483	0.172243	-109.565753	0.173299	-26804.320589	286855.946416	1634.101087	-1690.540283	164.745025	151.005814
-102.000000	103.268503	0.168882	-103.261191	0.171887	-3965.740443	274181.939099	1662.634177	-1719.189671	152.080317	145.561874
-96.000000	96.980289	0.202975	-96.999260	0.178467	9285.643894	265794.578432	1654.235459	-1707.247710	144.846309	147.586600
-90.000000	90.641098	0.208947	-90.613200	0.180564	-23332.937918	320510.031168	1672.774073	-1752.186445	144.840644	136.344330
-84.000000	84.338364	0.234609	-84.324743	0.214923	-10064.219015	369417.534854	1648.696315	-1704.131847	138.765287	138.873937
-78.000000	77.963396	0.220645	-77.965456	0.235365	6903.592177	336893.827658	1663.086036	-1716.683542	139.130878	146.458719
-72.000000	71.662210	0.249096	-71.602221	0.248413	-63314.642741	387529.860766	1648.408388	-1695.555660	141.780960	155.304825
-66.000000	65.244321	0.267826	-65.198966	0.266643	-33336.921758	401595.934925	1702.916362	-1735.148888	131.531265	143.020107
-60.000000	58.830457	0.263043	-58.780414	0.309812	-36056.128166	395214.457335	1689.344139	-1719.124431	143.205208	122.647748
-54.000000	52.448073	0.289031	-52.368792	0.289657	-59718.741527	448371.782821	1730.923511	-1737.146622	129.722711	139.467757
-48.000000	45.965856	0.310371	-45.986592	0.332883	29783.387613	489334.930205	1761.653344	-1758.640246	150.905464	142.171479
-42.000000	39.567763	0.383953	-39.497416	0.360355	-48865.766716	556939.891838	1747.445012	-1728.752093	154.516263	143.269419
-36.000000	32.992013	0.362822	-32.994468	0.339906	-15257.660627	580043.183116	1809.062733	-1770.832633	152.373234	150.809052
-30.000000	26.531324	0.392622	-26.542855	0.404404	-33221.234324	577015.319240	1872.922572	-1764.992505	155.355272	153.107577
-24.000000	20.118072	0.418455	-20.118167	0.367096	-55578.320919	619219.686485	1988.555254	-1823.282201	152.186119	149.884084
-18.000000	13.891163	0.379761	-13.870571	0.354579	-14574.675637	528946.077092	2175.871766	-1909.669302	177.434531	163.076838
-12.000000	7.933813	0.254408	-7.939223	0.298936	13514.028812	343571.649255	2354.916707	-2015.238018	159.873360	153.957223
-6.000000	2.630382	0.176952	-2.629047	0.172409	32.204369	127610.350428	2600.769691	-2198.789505	196.391821	168.722634
0.000000	-0.009838	0.001848	0.008750	0.001869	-212.730995	1351.405845	2783.215254	-2515.980451	192.238462	182.475593
6.000000	-1.898679	0.147573	1.892900	0.156488	11089.928277	109330.733645	2765.218060	-2336.266327	193.004563	173.822331
12.000000	-6.158913	0.428207	6.169570	0.399975	15000.868710	358604.070550	2692.658898	-2155.144999	191.942997	167.064959
18.000000	-11.553247	0.445844	11.455900	0.543080	74229.858843	569694.973056	2565.749954	-2033.276163	185.497167	182.909920
24.000000	-17.482926	0.567276	17.551183	0.577212	12206.520342	748409.433829	2432.043324	-1966.675577	188.819670	155.805776
30.000000	-23.665734	0.593268	23.548878	0.602217	115210.987675	1014276.147633	2357.674699	-1910.087748	175.424662	159.707884
36.000000	-29.699332	0.730446	29.503511	0.666000	163238.226319	1113701.734885	2292.150437	-1882.252960	146.062400	147.926580
42.000000	-35.687480	0.826481	35.817591	0.816829	-94063.971384	1351851.443650	2170.625108	-1819.526748	168.825098	167.346167
48.000000	-42.168430	0.775776	42.048880	0.739321	74969.820725	1244673.080653	2113.598264	-1810.399753	176.380411	166.318232
54.000000	-48.534102	0.777294	48.486834	0.708304	-21390.934006	1221977.474204	2030.180513	-1798.814587	167.869546	169.439019
60.000000	-55.114685	0.780564	55.120044	0.752469	70672.465766	1290316.134588	1940.500842	-1766.188573	153.384936	161.833194
66.000000	-61.610755	0.766463	61.715411	0.701411	-21751.162438	1195975.093879	1890.706530	-1775.544247	154.737671	155.455331
72.000000	-68.164877	0.692773	68.373116	0.603990	-241351.679589	1157747.076721	1835.552057	-1747.758757	158.248731	151.077818
78.000000	-74.953771	0.740952	75.011745	0.636759	-3736.056806	1077276.707767	1791.369441	-1732.464583	150.481773	162.442769
84.000000	-81.515884	0.547871	81.492149	0.653836	27833.737825	1032464.115691	1749.533308	-1705.150691	142.419139	154.218775
90.000000	-88.189512	0.607967	88.361401	0.544875	-183551.010847	971985.314394	1733.690248	-1728.239140	151.826070	173.360505
96.000000	-94.897897	0.449542	94.854830	0.497533	13589.563337	849995.720062	1699.045708	-1701.797875	143.776781	140.689354
102.000000	-101.398336	0.501159	101.400433	0.494011	-40682.671083	746651.986914	1708.381372	-1722.474035	167.335959	167.570169
108.000000	-107.859456	0.427414	107.839852	0.472433	-1648.159997	769766.254231	1678.102654	-1734.279777	157.119633	158.963454
114.000000	-114.415308	0.362780	114.416803	0.411175	33898.641067	580795.275699	1694.136222	-1734.468995	153.697835	164.625253
120.000000	-120.851686	0.361950	120.837459	0.346793	7902.676665	497899.805977	1681.413896	-1725.362509	150.687592	132.974974
126.000000	-127.270436	0.312820	127.264769	0.308392	15695.085084	496502.971884	1678.416662	-1729.937635	135.614023	144.662359
132.000000	-133.684013	0.314986	133.725879	0.286784	-17932.457353	449211.444883	1646.796702	-1681.675407	154.439005	167.030616
138.000000	-140.118898	0.253003	140.038785	0.255093	66736.779404	371957.006850	1625.194946	-1699.526340	162.585195	160.293877
144.000000	-146.418192	0.240372	146.422402	0.213701	5681.795444	348674.836939	1641.054162	-1709.950679	138.284056	149.288485
150.000000	-152.785938	0.227229	152.780142	0.235178	-660.883173	373934.958762	1630.210296	-1682.911963	139.406635	143.180952

#a = 0.250000 V = 40.000000 #N_heads = 2   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 36593.116023
