#F	x1	dx1	x2	dx2	xm	dxm	Q_in	dQ_in	Q_out	dQ_out
-150.000000	152.325197	0.191955	-152.356403	0.192875	27896.109971	290178.747237	3370.609943	-3417.034255	213.040817	203.656296
-144.000000	146.028457	0.181655	-146.001637	0.184040	-11953.684223	286021.078994	3407.976768	-3463.769842	226.003690	185.857674
-138.000000	139.711034	0.179819	-139.677149	0.179307	-27359.358447	312048.170741	3346.883717	-3401.374075	206.804675	203.424274
-132.000000	133.314232	0.213436	-133.314821	0.205636	-23539.378899	332748.802644	3335.762457	-3412.466212	192.411093	206.053934
-126.000000	126.936714	0.223665	-126.975514	0.228741	43267.205538	322771.165618	3352.051633	-3419.433210	203.635639	203.797194
-120.000000	120.581791	0.240940	-120.578236	0.287255	7808.524374	411791.566491	3363.779849	-3417.175793	198.901854	214.237739
-114.000000	114.211988	0.271487	-114.222114	0.265782	-6460.031680	405838.275363	3405.883370	-3451.336588	194.079935	196.049198
-108.000000	107.771347	0.259368	-107.840009	0.278436	36575.302239	404938.189334	3397.583228	-3428.818277	186.323256	220.799772
-102.000000	101.386183	0.298960	-101.377360	0.311700	13615.502735	440386.881148	3405.043746	-3443.240649	223.330079	250.403623
-96.000000	94.999000	0.318403	-94.927069	0.307525	-76787.444331	470732.938179	3376.351533	-3405.760321	191.292697	171.182563
-90.000000	88.475725	0.363569	-88.429416	0.349557	-11269.247791	551402.601090	3413.816822	-3472.437049	176.477189	214.022730
-84.000000	81.913777	0.358038	-81.966962	0.358183	18554.352173	590962.908164	3356.272210	-3430.567176	184.573655	187.228916
-78.000000	75.355579	0.376462	-75.355594	0.372263	14441.399678	629274.961499	3405.484950	-3440.818415	190.089935	194.472691
-72.000000	68.793063	0.427126	-68.806592	0.400483	18873.934833	693932.631585	3462.565232	-3467.612930	215.350931	229.264238
-66.000000	62.140594	0.482206	-62.144599	0.440295	-6671.801530	739642.607692	3460.169880	-3463.664594	213.895993	212.029548
-60.000000	55.419265	0.515000	-55.489353	0.460789	87617.799035	822552.875503	3451.026397	-3474.016790	184.545056	204.947284
-54.000000	48.749946	0.602721	-48.668935	0.589540	-118368.671520	973041.677170	3525.935311	-3550.326955	197.874541	197.976538
-48.000000	42.077489	0.586101	-42.074878	0.532447	32056.012461	936066.748575	3568.419118	-3539.887402	214.651810	230.409417
-42.000000	35.412035	0.646989	-35.418088	0.530025	34646.868076	898737.021747	3665.376384	-3606.127039	238.950028	233.390512
-36.000000	28.855583	0.549964	-28.947169	0.574590	36322.194793	959608.294396	3774.377503	-3689.117605	235.738925	229.280614
-30.000000	22.593622	0.515573	-22.597497	0.528113	25964.287922	903768.200641	3858.610852	-3769.617273	212.683715	222.883971
-24.000000	16.369554	0.461542	-16.358823	0.473609	21559.707683	683881.582582	4009.406333	-3897.032547	213.556619	209.958111
-18.000000	10.325346	0.408966	-10.300634	0.401991	-29159.984234	518781.434578	4164.509852	-4023.544347	251.787853	245.471356
-12.000000	4.418097	0.331949	-4.420953	0.290970	14038.129898	261143.870088	4439.454292	-4256.973184	261.937391	269.527565
-6.000000	0.749847	0.094573	-0.747128	0.094793	-2268.389400	52507.448029	4778.923046	-4510.059532	281.405710	260.126887
0.000000	-0.000786	0.002201	0.000719	0.002140	-29.799140	1444.403998	4924.206299	-4608.481667	280.515076	264.427674
6.000000	-0.698256	0.084770	0.698807	0.086718	2621.710386	49844.052244	4839.482778	-4349.215819	269.046650	248.157314
12.000000	-3.799019	0.338561	3.795695	0.334731	26498.367912	236573.607299	4532.260352	-4033.011364	281.350370	245.043649
18.000000	-8.920886	0.493458	8.935710	0.504251	-38565.871312	469355.572695	4297.776111	-3909.176273	249.637507	228.980849
24.000000	-15.012453	0.540193	14.991593	0.535531	16220.689779	682112.212825	4136.464663	-3820.722794	228.602512	225.237216
