#k	x1	dx1	x2	dx2	xm	dxm
0.010000	-7.095377	21.702644	7.103136	21.694579	5042.507508	551.875384
0.020000	-4.677970	15.332675	4.677616	15.333385	4969.390237	509.669944
0.040000	-2.987928	10.779554	2.989556	10.772245	4988.550583	487.657069
0.080000	-1.815384	7.559418	1.816179	7.562014	5013.529063	472.059599
0.160000	-1.035380	5.308121	1.037338	5.307297	5007.401930	438.565081
0.320000	-0.562376	3.735211	0.562812	3.736111	5001.201117	442.163882
0.630000	-0.298564	2.656980	0.298186	2.656718	5004.815862	429.430815
1.260000	-0.146532	1.905662	0.147254	1.905311	4999.827952	442.434168
2.510000	-0.073756	1.458132	0.073704	1.457902	5027.763591	465.091957
5.010000	-0.026403	1.137586	0.026385	1.137482	4986.077206	666.484056
10.000000	-0.007991	0.849632	0.008005	0.849385	5003.697983	1083.471060






#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 1000     time = 10000000.000000
#CPU_time = 129627.759330
