#k	x1	dx1	x2	dx2	xm	dxm	Q_in	Q_out	dQ_in	dQ_out
0.000178	-144.085150	190.165785	144.174657	190.513429	5051.875824	1081.284588	4684.802519	-2621.997009	259.136265	216.196642
0.000316	-102.970194	148.029836	102.120582	148.475986	5030.623989	1049.372378	4692.186273	-2626.893516	240.755762	202.553905
0.000562	-77.866285	116.750844	78.171749	116.554737	4943.712260	999.139945	4662.095888	-2609.612072	251.117516	213.728531
0.001000	-60.366440	91.453733	60.218662	91.370689	5019.651140	946.650958	4690.858520	-2627.693971	252.764249	210.025866
0.001778	-47.882931	71.033321	47.816569	70.931056	5046.890929	861.933927	4682.093967	-2615.722480	242.725967	200.385189
0.003162	-36.615471	53.178031	36.596474	53.245375	4987.861735	812.645947	4674.705778	-2623.481175	247.442357	203.752129
0.005623	-26.907763	38.391356	26.798327	38.411682	4977.944704	776.997945	4677.134180	-2622.982015	250.647904	208.928862
0.009999	-18.359180	27.186023	18.340484	27.217924	5014.561609	732.473844	4688.804822	-2635.821161	254.405531	220.094394
0.017781	-11.782197	18.997333	11.759583	19.000671	5017.840354	740.524432	4688.393360	-2634.168941	261.274038	224.790598
0.031620	-7.291772	13.428428	7.293168	13.437845	5055.049504	735.344777	4684.736716	-2617.897434	256.392630	213.181602
0.056229	-4.342526	9.616583	4.347073	9.621669	5005.074984	669.171374	4685.968035	-2638.014205	252.171497	214.200648
0.099990	-2.531182	6.994411	2.538697	6.998370	5034.694610	684.384828	4676.397142	-2624.585243	245.200604	205.923664
0.177808	-1.467052	5.150854	1.463946	5.150672	4985.810047	677.530889	4671.084479	-2622.411861	248.156072	206.831309
0.316191	-0.835173	3.818493	0.838933	3.816973	4977.232178	664.373304	4681.913898	-2623.298170	244.248249	206.845503
0.562288	-0.468948	2.846346	0.479482	2.842429	5011.954643	658.646320	4675.811897	-2631.243688	249.524797	210.468091
0.999900	-0.263207	2.135486	0.259921	2.132510	5024.539920	672.323612	4674.913593	-2637.616074	250.238783	214.795841
1.778090	-0.146041	1.636326	0.143349	1.635193	4987.055213	668.163800	4671.696749	-2634.118836	255.674531	223.522002
3.161921	-0.077703	1.281294	0.078100	1.280939	4993.443433	649.535906	4660.797364	-2640.339912	258.003394	272.161502
5.622743	-0.031973	1.014189	0.030899	1.015568	5015.851758	698.771883	4597.008614	-2616.630027	256.142690	348.268064
9.998746	-0.020942	0.785555	0.018642	0.784454	4994.257112	738.106179	4479.443455	-2572.690411	272.534047	451.245301

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.000000       N = 1000     time = 1000000.000000
#CPU_time = 65917.179625
