#c	v(nm/us)	dv
0	0.000271846	5.77337e-05
0.05	0.000216128	5.24354e-05
0.1	0.00016279	5.14367e-05
0.15	0.000125571	3.98005e-05
0.2	8.41222e-05	3.20388e-05
0.25	5.5219e-05	1.94877e-05
0.3	3.83453e-05	1.63479e-05
0.35	2.36669e-05	1.1147e-05
0.4	1.47569e-05	9.58148e-06
0.45	9.07047e-06	6.16341e-06
0.5	5.70087e-06	5.70717e-06
0.55	3.02437e-06	4.96176e-06
0.6	1.69566e-06	3.57321e-06
0.65	1.55259e-06	2.938e-06
0.7	9.83754e-07	2.88341e-06

#a = 0.250000 V = 40.000000 #N_heads = 4	N = 100     time = 10000000.000000
#CPU_time = 60272.652674
