#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
0	0.000678891	3.69003e-05	118178	-83936.7	1276.97	922.866
0.05	0.000641419	3.54053e-05	118114	-83990	1374.63	1105.48
0.1	0.00060495	3.37337e-05	118297	-84044.7	1231.07	905.692
0.15	0.000569433	3.45349e-05	117929	-83883.6	1391.11	1006.18
0.2	0.000532196	3.3807e-05	118346	-84274.5	1195.67	910.786
0.25	0.000495502	3.56307e-05	118183	-84126.3	1228.5	967.767
0.3	0.000457806	3.49078e-05	118164	-84114.1	1378.3	1069.6
0.35	0.000419359	3.86626e-05	117983	-84052.5	1494.45	1040.15
0.4	0.000374647	3.92595e-05	118105	-84262.4	1407.11	1040.55
0.45	0.000341734	3.88185e-05	118184	-84316.4	1373.27	984.005
0.5	0.000305589	3.94564e-05	118156	-84302.9	1354.73	1046.96

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 71265.530961
