#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
0	0.00162982	0.000210752	395769	-297653	2987.82	2360.5
0.05	0.000297818	0.000165334	395241	-297422	2746.98	2343.98
0.1	-0.000966971	0.000174928	395942	-298207	2993.98	2511.88
0.15	-0.0022623	0.000163721	394850	-297466	3239.81	2462.77
0.2	-0.00349321	0.000213183	393840	-297025	2854.16	2311.36
0.25	-0.00478501	0.000194096	394406	-297814	3199.39	2429.79
0.3	-0.00607176	0.000218423	393981	-297659	3318.12	2637.53
0.35	-0.00735572	0.00016978	392859	-297107	3214.3	2562.76
0.4	-0.00865354	0.000187767	393555	-297901	2988.42	2319.51
0.45	-0.00994702	0.000191327	392941	-297577	3124.94	2475.12
0.5	-0.0112081	0.000181628	392353	-297594	3137.47	2338.69

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 82050.985940
