#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
0	-3.19608e-06	0.000182893	0	0	0	0
0.05	-0.00129389	0.000199545	0	0	0	0
0.1	-0.00263632	0.000187617	0	0	0	0
0.15	-0.00394576	0.000193816	0	0	0	0
0.2	-0.0052383	0.000182555	0	0	0	0
0.25	-0.00651042	0.000185732	0	0	0	0
0.3	-0.00785611	0.000203295	0	0	0	0
0.35	-0.00915779	0.000188483	0	0	0	0
0.4	-0.0104989	0.000185683	0	0	0	0
0.45	-0.0118087	0.000183204	0	0	0	0
0.5	-0.0131332	0.000196345	0	0	0	0

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 81238.977448
