#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	10.8703	0.00328679	174045	-174691	1480.29	1624.37
-144	10.3895	0.00278806	174361	-174772	1462.57	1444.48
-138	9.92786	0.00340954	174020	-174635	1535.95	1448.22
-132	9.45935	0.00320451	174264	-174707	1368.12	1436.12
-126	8.97924	0.00409492	173967	-174535	1572.93	1544.1
-120	8.49355	0.00438936	174324	-174646	1503.26	1558.37
-114	8.0253	0.00422897	173991	-174584	1522.07	1576.92
-108	7.54637	0.00469477	173968	-174798	1512.05	1495.88
-102	7.04036	0.00541867	173880	-174801	1438.19	1262.97
-96	6.55055	0.00536712	174151	-174880	1383.04	1275.83
-90	6.0278	0.00539467	174292	-174815	1510.68	1535.84
-84	5.51346	0.00717969	174279	-174733	1569.87	1407.58
-78	4.96134	0.00747262	173954	-174760	1550.15	1565.5
-72	4.41069	0.00867047	173688	-174526	1199.64	1195.3
-66	3.7959	0.0107063	174027	-174799	1450.03	1420.14
-60	3.11385	0.0143384	181455	-173420	1489.59	1598.78
-54	2.52517	0.0141291	195547	-171101	1398.89	1215.33
-48	1.96776	0.0141494	214007	-169504	1989.75	1350.45
-42	1.37935	0.0101818	215512	-169280	1900.65	1447.58
-36	0.652487	0.00885984	259267	-176535	1993.18	1521.26
-30	0.391819	0.00649863	260375	-176836	1762.54	1258.34
-24	0.248321	0.0056062	274581	-183854	1968.92	1455.44
-18	0.121987	0.00269308	269979	-186484	2052.49	1584.91
-12	0.00136744	1.75703e-05	269866	-201158	1947.86	1554.62
-6	0.00126578	1.95707e-05	268166	-200740	2151.98	1909.02
0	0.000356592	1.13398e-05	246018	-212792	2005.38	1628.14
6	3.74507e-07	3.03255e-07	224121	-224166	1564.04	1566.7
12	3.9261e-07	2.82729e-07	224095	-224154	1640.13	1641.46
18	-0.120776	0.00250821	223896	-209268	1787.52	1776.53
24	-0.406785	0.00547992	208852	-187347	1830.53	1755.13
30	-0.847546	0.00729435	187193	-176708	1631.55	1707.56
36	-1.43544	0.00822719	186922	-176634	1627.07	1494.22
42	-2.04211	0.00835351	175864	-175023	1542.14	1497.48
48	-2.62595	0.00798027	174204	-174628	1616.94	1479.56
54	-3.18177	0.00610662	174222	-174697	1485.27	1444.35
60	-3.71185	0.00611872	174360	-174656	1533.94	1602.72
66	-4.22435	0.0050008	174271	-174613	1469.65	1477.26
72	-4.74537	0.00535488	173944	-174512	1611.99	1397.77
78	-5.23474	0.00447644	174180	-174629	1663.87	1695.46
84	-5.73748	0.00403302	174215	-174720	1467.6	1553.37
90	-6.21808	0.00399139	174529	-174805	1571.86	1527.13
96	-6.70085	0.00345254	174599	-174854	1484.79	1491.66
102	-7.17382	0.00357244	174204	-174734	1586.67	1707.72
108	-7.65995	0.00323617	174147	-174582	1484.89	1421.56
114	-8.13907	0.00305543	174192	-174623	1434.98	1446.26
120	-8.59871	0.00251407	174327	-174667	1494.32	1564.43
126	-9.06967	0.00252466	174045	-174658	1567.98	1496.62
132	-9.54618	0.00281034	174416	-174723	1644.29	1612.37
138	-10.0141	0.0028491	174174	-174596	1652.47	1488.52
144	-10.4642	0.00239591	174279	-174902	1486.8	1484.44
150	-10.9199	0.00231447	174064	-174585	1443.56	1472.33

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 364923.935219
