#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	10.873	0.002906	174691	-174940	1551.11	1417.67
-144	10.4048	0.0026964	174838	-174868	1628.94	1621.02
-138	9.93524	0.00336654	174614	-174727	1608.94	1568.82
-132	9.46298	0.00323221	174881	-174876	1488.15	1359.57
-126	8.98847	0.00350232	174845	-174783	1443.47	1354.8
-120	8.51179	0.00392798	174937	-174927	1505.63	1446.06
-114	8.03087	0.00391961	175204	-174896	1489.6	1549.52
-108	7.54672	0.00422893	175451	-174897	1373.67	1421.79
-102	7.05721	0.00428885	175607	-174970	1479.34	1529.99
-96	6.56116	0.0057447	175525	-174970	1468.31	1409.61
-90	6.05746	0.00530208	176061	-174957	1500.75	1465.68
-84	5.54402	0.00642973	176480	-174940	1532.35	1703.97
-78	5.01726	0.00696261	177547	-175039	1333.27	1463.61
-72	4.47055	0.00792754	178675	-175035	1356.3	1383.84
-66	3.90334	0.00927663	180884	-174833	1431.91	1367.74
-60	3.309	0.0105738	185495	-174637	1578.5	1403.05
-54	2.71196	0.0110198	192828	-173809	1589.25	1374.87
-48	2.13914	0.0101382	201992	-173182	1400.38	1390.55
-42	1.58892	0.0110553	212552	-173538	1555.77	1220.49
-36	1.0598	0.00858069	223599	-174300	1858.93	1418.28
-30	0.613519	0.00664115	237717	-176765	1764.89	1436.39
-24	0.335914	0.00610633	250281	-179577	1878.42	1377.01
-18	0.177963	0.00370686	258148	-182295	1858.44	1519.03
-12	0.0743455	0.00163265	262410	-185569	1989.46	1609.65
-6	0.0179388	0.000371667	262699	-189283	1715.24	1444.69
0	0.00133229	4.10057e-05	260641	-191445	1850.23	1516.64
6	-0.0169871	0.000385159	246481	-193788	1860.21	1529.07
12	-0.0958186	0.00147141	224611	-196695	1711.01	1669.01
18	-0.291527	0.00385353	206822	-194808	1769.55	1709.97
24	-0.631512	0.00496347	197738	-187738	1664.31	1557.49
30	-1.09031	0.00751284	190433	-182752	1723.75	1688
36	-1.6184	0.00710467	184546	-179457	1587.36	1644.81
42	-2.16518	0.00743352	180792	-177914	1712.23	1640.91
48	-2.70926	0.0070589	178969	-177048	1597.54	1564.58
54	-3.24142	0.00604035	177322	-176417	1500.31	1594.14
60	-3.75952	0.00564436	176573	-175674	1657.44	1514.93
66	-4.26839	0.00528394	175915	-175532	1473.56	1413.87
72	-4.76778	0.00504983	175547	-175366	1602.29	1668.12
78	-5.2611	0.00440153	175710	-175417	1516.4	1473.11
84	-5.74926	0.0040733	175284	-175267	1629.05	1453.6
90	-6.23209	0.00395043	175253	-175110	1412.59	1508.69
96	-6.71217	0.00381515	175123	-175051	1466.34	1515.4
102	-7.18893	0.00339305	175102	-174934	1601.48	1589.39
108	-7.66259	0.00314849	174828	-174812	1508.95	1518.59
114	-8.13401	0.0035554	174823	-174785	1480.85	1449.16
120	-8.60364	0.00241317	174781	-174760	1520.23	1620.29
126	-9.07126	0.00293015	174921	-175040	1496.84	1670.1
132	-9.53803	0.00269247	174572	-174786	1576.97	1653.79
138	-10.0031	0.00257349	174584	-174755	1552.2	1364.72
144	-10.4669	0.00240206	174895	-174898	1579.6	1399.12
150	-10.9307	0.00237686	174888	-174944	1578.76	1547.01

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 362428.982444
