#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	2.46006	0.0110402	197081	-174466	1597.75	1619.03
-48	2.27477	0.00990302	199866	-174352	1587.04	1523.84
-46	2.09433	0.010531	202885	-174548	1747.58	1512.28
-44	1.91608	0.00953427	205755	-174374	1700.94	1569.87
-42	1.74019	0.0116444	208861	-174430	1921.27	1654.34
-40	1.5698	0.0103712	211899	-174739	1739	1488.7
-38	1.40096	0.00890502	215176	-174872	1844.97	1453.41
-36	1.23879	0.00826479	218764	-175231	1653	1373.62
-34	1.08421	0.00827572	222421	-175653	1423.86	1196.92
-32	0.937055	0.00795139	226248	-176157	1866.15	1447.3
-30	0.800963	0.00634028	229652	-176393	1721.81	1442.4
-28	0.676072	0.00678982	233543	-177040	2085.83	1606.49
-26	0.565861	0.00541383	237593	-178001	1537.41	1279.53
-24	0.468047	0.0058524	241040	-178633	1669.12	1487.4
-22	0.383579	0.00513952	244599	-179432	1733.13	1347.45
-20	0.311417	0.0045567	247746	-180224	1931.59	1520.63
-18	0.249797	0.00379821	250355	-180949	1657.63	1348.24
-16	0.199062	0.00313591	252472	-181499	1838.09	1408.29
-14	0.155742	0.00281938	254730	-182345	2014.71	1620.74
-12	0.118349	0.00207317	256184	-183012	1920.77	1549.03
-10	0.0878933	0.00150382	257327	-183591	1764.3	1428.3
-8	0.0626609	0.00115923	258401	-184124	2013.72	1595.6
-6	0.0421965	0.000872142	258948	-184652	1751.51	1289.93
-4	0.0261786	0.0005283	258786	-184870	1865.82	1516.83
-2	0.0130334	0.000247244	258941	-185309	1935.43	1496.1
0	0.00135094	9.26081e-05	256856	-185202	2042.29	1550.31
2	-0.0108964	0.000271437	254332	-185788	1880.82	1599.45
4	-0.0265416	0.000505465	248254	-186517	1899.14	1536.24
6	-0.0493811	0.000800226	240324	-188377	1937.68	1559.66
8	-0.0821776	0.00121018	232269	-190491	1954.39	1574.13
10	-0.125757	0.00179783	225446	-191952	1860.14	1703.35
12	-0.180512	0.00212489	218756	-192147	1705.37	1602.97
14	-0.24669	0.00285374	213299	-192980	1687.22	1607.36
16	-0.327886	0.0031119	207837	-192639	1917.93	1865.04
18	-0.421781	0.00399052	204079	-191661	1745.5	1736.3
20	-0.528188	0.00454514	201176	-190316	1933.04	1726.59
22	-0.646581	0.00501862	198826	-188916	1575.63	1662.49
24	-0.778057	0.00537318	196347	-187065	1663.5	1523.89
26	-0.916708	0.00509933	194183	-185970	1740.09	1552.09
28	-1.06725	0.00650198	192297	-184622	1712.82	1634.82
30	-1.22216	0.00600308	190268	-183410	1648.98	1550.39
32	-1.38418	0.00632364	188667	-182412	1780.43	1772.13
34	-1.55074	0.0064489	187319	-181588	1464.78	1696.41
36	-1.72144	0.00716008	185542	-180665	1563.61	1500.22
38	-1.8936	0.00695598	184512	-180063	1360.87	1533.32
40	-2.06683	0.00649184	183163	-179332	1580.29	1511.02
42	-2.24137	0.00690278	182349	-178746	1735.78	1812.73
44	-2.4162	0.00638993	181675	-178457	1562.56	1675.95
46	-2.59027	0.00714123	180869	-178283	1642.15	1700.3
48	-2.76557	0.00619825	180232	-177760	1536.9	1701.1
50	-2.93768	0.00597124	179902	-177491	1593.61	1622.24

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 317081.720994
