#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	1.40363	0.00833995	57890	-49803.6	949.207	763.392
-48	1.21041	0.00776655	58548.8	-49300.4	774.689	760.378
-46	1.02977	0.00826528	59469.3	-48987	879.248	760
-44	0.861388	0.00789536	60284.6	-48519.1	1054.28	863.089
-42	0.710692	0.00720714	61074.7	-48072.9	954.042	764.722
-40	0.579992	0.00736435	61862.1	-47569.9	874.737	666.948
-38	0.467432	0.00770554	62796.9	-47282.7	1118.07	827.687
-36	0.371537	0.005966	63540.2	-46941.3	1012.87	780.554
-34	0.29214	0.0055121	64259.2	-46640.3	1035.96	761.727
-32	0.227973	0.00489256	64973.7	-46416.2	990.258	706.733
-30	0.175343	0.00382709	65650	-46302.9	1041.38	784.683
-28	0.133027	0.00302067	66131.3	-46117.7	1094.16	788.072
-26	0.0999501	0.00261307	66796.6	-46126.5	1130.13	796.048
-24	0.0738282	0.0021184	67264.7	-46162.8	1076.98	745.171
-22	0.0537155	0.0018388	67784.3	-46158.1	1223.67	830.682
-20	0.0380509	0.00141506	67846.5	-45994.6	1129.97	755.487
-18	0.0266994	0.00093015	68121.1	-45936.7	1187.85	839.749
-16	0.0184862	0.000728689	68652.9	-46147.5	1041	788.919
-14	0.0125135	0.000530088	68628.3	-46059.7	1072.75	805.675
-12	0.0083661	0.000401487	68684.4	-45907.4	1051.52	773.542
-10	0.00555929	0.000231893	68994.4	-46102.8	1177.21	841.866
-8	0.00367461	0.00018445	69158.8	-46123.5	1187.27	811.249
-6	0.00242772	0.000116295	69191.4	-46163.4	1156.02	746.2
-4	0.00158775	7.14867e-05	69149.9	-46175	1047.3	746.504
-2	0.00097396	4.32409e-05	69097.3	-46537.9	1289.96	913.273
0	0.000450318	2.04938e-05	68743.4	-46902.4	1105.12	866.486
2	-0.000161744	4.01986e-05	68426.6	-48202.5	1198.4	853.982
4	-0.00110871	7.36544e-05	67849.9	-50391.3	1089.86	845.921
6	-0.00280856	0.000147691	66907.5	-53315.5	1068.54	934.114
8	-0.00562652	0.000267676	66010.7	-55907	1187.71	1003.82
10	-0.0100126	0.00043671	65365.6	-57909.6	1108.19	998.974
12	-0.0164634	0.000565949	64723.2	-59204.4	1147.08	950.503
14	-0.0260227	0.000814697	64145.7	-60103.2	1044.58	1141.78
16	-0.039835	0.00119072	63713.1	-60676.6	916.797	956.474
18	-0.0595987	0.00169991	63146.3	-60583.3	1166.96	1053.66
20	-0.0850178	0.00202472	62767	-60464.3	1031.81	933.708
22	-0.119227	0.00307957	62401.3	-60020.6	1090.69	1076.04
24	-0.162945	0.00384927	61795.2	-59421.6	1071.03	936.718
26	-0.218071	0.00395811	61413.3	-58939.9	1011.74	1004.86
28	-0.286777	0.005098	60865	-58403.7	866.028	860.399
30	-0.369588	0.00580694	60380.4	-57847	984.448	898.682
32	-0.465503	0.00725099	59562	-57167.5	1035.34	1013.54
34	-0.578493	0.00779224	59072.7	-56707.1	936.859	865.765
36	-0.705318	0.00813697	58447.9	-56183.4	1003.66	853.216
38	-0.846752	0.0094037	57799.5	-55739.1	988.24	940.606
40	-1.00064	0.00893804	57334.7	-55371.4	934.819	950.178
42	-1.16357	0.00956957	56770.9	-54995.9	928.647	965.025
44	-1.33959	0.00947989	56274.2	-54844.5	1054.91	964.181
46	-1.519	0.00998311	55724.5	-54335.4	1046.52	968.879
48	-1.70665	0.0102832	55418.4	-54254	1031.1	957.092
50	-1.89687	0.009999	55099.8	-54105.9	990.736	968.722

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 313667.667858
