#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	10.5896	0.00418349	87586.3	-87501.9	943.16	977.727
-144	10.1091	0.0042587	87451.1	-87313.1	1087.74	1096.04
-138	9.62685	0.0045591	87422.3	-87268.8	1096.03	1103.05
-132	9.14116	0.0041791	87567.4	-87382.2	1029.47	954.765
-126	8.65214	0.00404081	87679	-87399.3	956.548	947.492
-120	8.15832	0.00520632	87828.3	-87571.9	1129.9	1028.54
-114	7.65938	0.00545007	87757.8	-87349.1	1051.34	993.869
-108	7.15457	0.00527987	87931.5	-87398.1	1013.79	1023.08
-102	6.64317	0.00555422	88090.8	-87455.8	916.891	990.033
-96	6.12178	0.00600076	88102.4	-87318	1085.14	1050.11
-90	5.59025	0.00672525	88644.9	-87447	950.058	929.646
-84	5.04442	0.00655513	88780	-87417.7	1020.62	1029.35
-78	4.48225	0.00755224	89312.9	-87324.8	1058.35	1006.99
-72	3.89697	0.00817017	90063.4	-87182	998.553	1061.5
-66	3.28645	0.00998484	91138.7	-86827	1061.82	955.919
-60	2.65455	0.010356	92843.1	-86216.8	1045.32	961.793
-54	2.01681	0.0124023	95477.1	-85141.3	1102.34	971.25
-48	1.41639	0.0119893	99106.3	-83815.4	1032.57	937.172
-42	0.918656	0.0103215	103813	-82669.4	1207.17	975.773
-36	0.547951	0.00786277	108321	-81801.9	1245.66	964.902
-30	0.299184	0.00599369	111983	-81522.5	1201.25	931.104
-24	0.1412	0.00320877	114953	-81886.2	1400.44	976.318
-18	0.0571323	0.00148846	117179	-82431.4	1276.22	1059.35
-12	0.0200094	0.000819185	118442	-82842.7	1294.5	996.689
-6	0.00604024	0.000269829	119003	-83090.1	1335.19	1034.11
0	0.000678863	3.49156e-05	118466	-84190.3	1334.52	912.585
6	-0.00768393	0.000300242	113940	-90284.4	1369.44	1123.04
12	-0.0394363	0.00116102	108762	-97030.5	1220.96	1152.03
18	-0.123791	0.00253076	104694	-99446.5	1150.58	1164.66
24	-0.295774	0.00471564	101727	-97328.1	1187.15	1114.3
30	-0.584238	0.00747365	98730.1	-94614.5	1202.52	1121.52
36	-0.989747	0.00889981	95808.7	-92456	1315.41	1129.49
42	-1.48576	0.0106696	93267.2	-90864.3	1205.12	1038.55
48	-2.03329	0.0102275	91423.5	-89719	1195.94	1093.79
54	-2.59719	0.0100667	90237.8	-89174.9	1165.52	1278.3
60	-3.15696	0.00946794	89635.4	-88709.4	1137.98	1049.04
66	-3.70556	0.00812984	89145.1	-88565.2	1055.54	1139.44
72	-4.24179	0.00800477	88753.3	-88265	1140.18	1093.19
78	-4.76672	0.00740239	88300.5	-87947.3	1024.92	1023.94
84	-5.28634	0.0065823	88076.1	-87979.8	1199.08	1079.45
90	-5.79691	0.0057825	88115.2	-87924.4	1123.85	1051.87
96	-6.29959	0.00590148	87912.5	-87751.4	1195.96	1099.72
102	-6.79803	0.00580728	87863.5	-87823.2	940.048	1029.55
108	-7.2914	0.00539065	87558.5	-87476.8	1177.92	1220.76
114	-7.7816	0.0052211	87625.8	-87609.3	1045.26	1178.43
120	-8.26702	0.0047083	87730.2	-87639.9	1149	1004.66
126	-8.7501	0.00464587	87542.1	-87502.4	1033.36	988.979
132	-9.23025	0.00530038	87446.1	-87429.4	986.664	1049.09
138	-9.70809	0.00464225	87458.6	-87610	1057.08	1120.64
144	-10.184	0.00423114	87532.1	-87685.8	1062.4	1065.32
150	-10.6582	0.00390804	87330	-87357.3	1120.21	1073.55

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 320727.816762
