#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	1.37052	0.000446791	0	0	0	0
-48	1.18055	0.000435944	0	0	0	0
-46	0.999211	0.000466119	0	0	0	0
-44	0.829231	0.000443833	0	0	0	0
-42	0.673341	0.000421027	0	0	0	0
-40	0.53408	0.000398795	0	0	0	0
-38	0.413185	0.000344903	0	0	0	0
-36	0.311666	0.000340542	0	0	0	0
-34	0.229162	0.000263027	0	0	0	0
-32	0.164287	0.000238954	0	0	0	0
-30	0.115008	0.000215306	0	0	0	0
-28	0.0787096	0.000168493	0	0	0	0
-26	0.0527506	0.000142906	0	0	0	0
-24	0.0346769	0.000116923	0	0	0	0
-22	0.022422	8.77679e-05	0	0	0	0
-20	0.0142689	7.81105e-05	0	0	0	0
-18	0.00896058	5.9131e-05	0	0	0	0
-16	0.0055426	4.31338e-05	0	0	0	0
-14	0.0034006	3.68667e-05	0	0	0	0
-12	0.00205868	2.75986e-05	0	0	0	0
-10	0.00122978	2.12774e-05	0	0	0	0
-8	0.000724763	1.49099e-05	0	0	0	0
-6	0.000415504	1.34459e-05	0	0	0	0
-4	0.000226344	1.01282e-05	0	0	0	0
-2	9.88182e-05	7.77944e-06	0	0	0	0
0	7.827e-07	7.57646e-06	0	0	0	0
2	-9.78318e-05	7.98309e-06	0	0	0	0
4	-0.000225443	9.72685e-06	0	0	0	0
6	-0.000416381	1.35539e-05	0	0	0	0
8	-0.00072535	1.71737e-05	0	0	0	0
10	-0.00122994	2.16905e-05	0	0	0	0
12	-0.00206039	2.97062e-05	0	0	0	0
14	-0.0033966	3.79359e-05	0	0	0	0
16	-0.00555788	4.5891e-05	0	0	0	0
18	-0.00895255	5.45655e-05	0	0	0	0
20	-0.0142695	7.04697e-05	0	0	0	0
22	-0.0224351	8.70284e-05	0	0	0	0
24	-0.0346883	0.000107841	0	0	0	0
26	-0.0527399	0.000141	0	0	0	0
28	-0.07869	0.000161332	0	0	0	0
30	-0.115019	0.000201083	0	0	0	0
32	-0.164288	0.000260028	0	0	0	0
34	-0.229177	0.000289204	0	0	0	0
36	-0.311698	0.000316077	0	0	0	0
38	-0.413234	0.000377122	0	0	0	0
40	-0.534	0.000433437	0	0	0	0
42	-0.673324	0.000439429	0	0	0	0
44	-0.829258	0.000525131	0	0	0	0
46	-0.999315	0.000476233	0	0	0	0
48	-1.1806	0.000424084	0	0	0	0
50	-1.37061	0.00042867	0	0	0	0

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 308079.775345
