#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	11.1568	0.000358067	258333	-258223	2388.46	2413.06
-144	10.7026	0.000341472	258362	-258179	2008.51	2011.22
-138	10.2481	0.000347248	258826	-258642	2477	2576.15
-132	9.79322	0.000350396	258530	-258238	2172.64	2186.08
-126	9.33796	0.000344495	259140	-258786	2292.77	2206.78
-120	8.88213	0.000410775	259107	-258399	2403.9	2341.99
-114	8.42577	0.000421396	259496	-258758	2020.65	2037.07
-108	7.96875	0.000396003	259520	-258577	2141.89	2080.6
-102	7.51093	0.000393555	260092	-258567	2202.84	2149.98
-96	7.05212	0.000410585	260293	-258683	2409.03	2307.21
-90	6.59231	0.000435369	260683	-258633	2031.2	2251.96
-84	6.1311	0.000477824	261550	-258856	2388.83	2220.01
-78	5.66817	0.000500161	262853	-259260	2203.08	2193.18
-72	5.20335	0.000477171	264308	-259213	2287.32	2277.16
-66	4.73604	0.000544018	266090	-259338	2222.37	2098.44
-60	4.26535	0.00058077	269345	-259530	2240.74	2190.91
-54	3.7905	0.000697398	274642	-260327	2204.37	2190.41
-48	3.31065	0.00067451	282446	-260729	2267.67	2129.58
-42	2.82463	0.000730212	295607	-261457	2296.47	1973.86
-36	2.33311	0.000897006	318089	-263294	2566.57	2291.93
-30	1.84084	0.000912864	348708	-265041	2690.85	2237.86
-24	1.35565	0.000929409	382255	-268336	3084.61	2115.51
-18	0.890287	0.000640363	407822	-273429	3325.85	2301.51
-12	0.477731	0.000498731	422304	-281001	3488.25	2597.62
-6	0.178597	0.000290667	424865	-289766	2962.31	2262.94
0	0.00199913	0.000205204	408813	-295093	2790.65	2273.43
6	-0.177026	0.000280592	353938	-291230	2917	2436.12
12	-0.484274	0.00042324	308496	-281805	2700.12	2360.88
18	-0.911118	0.000493677	291034	-274112	2493.93	2274.99
24	-1.39242	0.000544003	279775	-268236	2150.57	2239.35
30	-1.88605	0.00054089	272099	-264527	2318.3	2211.66
36	-2.37693	0.000564038	267960	-263114	2400.13	2301.87
42	-2.86157	0.000456165	265445	-261678	2259.69	2235.58
48	-3.34055	0.000424615	263572	-260801	2195.77	2131.81
54	-3.81455	0.000434409	262636	-260457	2709.52	2525.96
60	-4.28492	0.000441861	261173	-259687	2328.43	2406.46
66	-4.75201	0.000376026	260932	-259666	2163.42	2247.84
72	-5.21677	0.000379151	260532	-259166	2329.11	2240.13
78	-5.67961	0.000377524	260124	-259528	2180.22	2222.91
84	-6.14082	0.000400783	259516	-259089	2228.32	2239.77
90	-6.60076	0.000371572	258887	-258370	2521.31	2457.53
96	-7.05957	0.00039559	258883	-258482	2431.39	2336.6
102	-7.51744	0.000376182	258972	-258605	2040.48	1917.82
108	-7.97453	0.000366394	258820	-258619	2462.18	2350.07
114	-8.43099	0.000313979	258236	-258151	2274.44	2222.45
120	-8.88683	0.00035792	258740	-258756	2129.33	2173.29
126	-9.34222	0.000408112	258538	-258511	1879.48	2059.21
132	-9.79712	0.000379304	258340	-258397	2076.37	2159.68
138	-10.2517	0.000388726	258589	-258708	2335.91	2536.66
144	-10.7059	0.000384943	258293	-258395	2106.87	2096.6
150	-11.1598	0.000334043	258203	-258386	2290.6	2330.19

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 358717.981310
