#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	3.52327	0.000337871	0	0	0	0
-48	3.36546	0.000366371	0	0	0	0
-46	3.20711	0.000339798	0	0	0	0
-44	3.04821	0.000357361	0	0	0	0
-42	2.8887	0.000357191	0	0	0	0
-40	2.72859	0.000385655	0	0	0	0
-38	2.56783	0.000352165	0	0	0	0
-36	2.4063	0.000367345	0	0	0	0
-34	2.24413	0.000357891	0	0	0	0
-32	2.0811	0.000387598	0	0	0	0
-30	1.91754	0.000378298	0	0	0	0
-28	1.75345	0.000392572	0	0	0	0
-26	1.58893	0.000367256	0	0	0	0
-24	1.42454	0.000387119	0	0	0	0
-22	1.26086	0.000359942	0	0	0	0
-20	1.09892	0.0003859	0	0	0	0
-18	0.940048	0.000356646	0	0	0	0
-16	0.786358	0.000345618	0	0	0	0
-14	0.640185	0.000414019	0	0	0	0
-12	0.504495	0.000341224	0	0	0	0
-10	0.382377	0.000325408	0	0	0	0
-8	0.276261	0.00025378	0	0	0	0
-6	0.187147	0.000252375	0	0	0	0
-4	0.114073	0.000229808	0	0	0	0
-2	0.0535862	0.000193489	0	0	0	0
0	2.6039e-05	0.000182436	0	0	0	0
2	-0.0535821	0.000208912	0	0	0	0
4	-0.114096	0.000252457	0	0	0	0
6	-0.187131	0.000275988	0	0	0	0
8	-0.276249	0.000291591	0	0	0	0
10	-0.382366	0.000334008	0	0	0	0
12	-0.50449	0.000335644	0	0	0	0
14	-0.640177	0.000355969	0	0	0	0
16	-0.786294	0.000353013	0	0	0	0
18	-0.940101	0.000393503	0	0	0	0
20	-1.09897	0.000413105	0	0	0	0
22	-1.26092	0.000372143	0	0	0	0
24	-1.42454	0.000370338	0	0	0	0
26	-1.58892	0.000375616	0	0	0	0
28	-1.7534	0.000405277	0	0	0	0
30	-1.91752	0.000377853	0	0	0	0
32	-2.08116	0.000377558	0	0	0	0
34	-2.24408	0.000350472	0	0	0	0
36	-2.40634	0.000356583	0	0	0	0
38	-2.56781	0.000376137	0	0	0	0
40	-2.72864	0.000388126	0	0	0	0
42	-2.88867	0.000355109	0	0	0	0
44	-3.04823	0.000348823	0	0	0	0
46	-3.20714	0.000312209	0	0	0	0
48	-3.36547	0.00032366	0	0	0	0
50	-3.52324	0.000347113	0	0	0	0

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 309503.438637
