#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	10.8784	0.00281091	174956	-175002	1463.42	1319.02
-144	10.411	0.00320958	174887	-174867	1520.53	1603.12
-138	9.94167	0.00311341	174812	-174470	1417.6	1459.56
-132	9.47088	0.00319252	175247	-174939	1519.7	1543.74
-126	8.99711	0.00332929	175192	-174951	1449.7	1431.46
-120	8.52188	0.00409598	175495	-174949	1616.8	1562.04
-114	8.043	0.00413434	175384	-174826	1564.87	1394.56
-108	7.55985	0.00441378	175871	-175104	1407.11	1420.87
-102	7.07198	0.00475722	176211	-175198	1377.89	1692.54
-96	6.57934	0.0052381	176264	-174882	1420.1	1517.69
-90	6.08055	0.00518235	177202	-175215	1774.9	1564.47
-84	5.57064	0.00589956	177720	-175097	1456.59	1505.64
-78	5.05437	0.00658437	178829	-175127	1567.46	1581.39
-72	4.52039	0.00618085	180411	-175151	1483.43	1346.64
-66	3.96973	0.00834994	182822	-175029	1530.32	1403.63
-60	3.40407	0.00946737	186757	-174874	1628.68	1512.43
-54	2.83374	0.00869783	192353	-174666	1619.36	1590.84
-48	2.27624	0.0110031	199963	-174441	1591.88	1335.56
-42	1.74041	0.0106216	208580	-174412	1615.91	1403.38
-36	1.23991	0.00785148	218669	-175060	1844.85	1452.16
-30	0.800147	0.00778741	229800	-176520	1853.02	1407.2
-24	0.467998	0.00546532	241085	-178570	1850.22	1489.91
-18	0.250386	0.004003	250011	-180758	1997.46	1489.68
-12	0.118769	0.00211261	256093	-182930	1896.35	1447.27
-6	0.0422938	0.000739469	258913	-184709	1725.3	1378.34
0	0.00134145	8.43495e-05	256849	-185046	1825.3	1402.3
6	-0.0494927	0.000771857	240200	-188240	2042.28	1772.13
12	-0.18019	0.00206875	219095	-192286	1820.63	1574.11
18	-0.421842	0.00423542	204198	-191628	1548.41	1747.08
24	-0.777656	0.00545542	196276	-187366	1785.96	1654.11
30	-1.2212	0.00643624	190452	-183580	1517.23	1639.5
36	-1.72124	0.00670643	185754	-180832	1645.91	1574.38
42	-2.24092	0.00615527	182496	-178997	1657.73	1612.45
48	-2.76502	0.00527173	180148	-177703	1550.19	1663.94
54	-3.28264	0.00568047	178748	-177044	1588.64	1686.17
60	-3.79178	0.00513801	177870	-176579	1593.41	1477.99
66	-4.29483	0.00510589	176946	-176055	1577.32	1582.85
72	-4.79013	0.00447075	176688	-175873	1532.2	1567.53
78	-5.28006	0.00436042	176268	-175687	1513.83	1535.02
84	-5.76528	0.0040943	175918	-175571	1446.97	1308.72
90	-6.24593	0.0040831	175778	-175475	1632.33	1543.69
96	-6.72363	0.00365007	175738	-175439	1584.13	1642.38
102	-7.1988	0.00370483	175517	-175430	1628.96	1482.5
108	-7.67143	0.00327314	175318	-175296	1499.05	1514.31
114	-8.14192	0.00280234	175405	-175270	1748.76	1590.27
120	-8.61082	0.00273567	174941	-174914	1450.39	1489.05
126	-9.07819	0.00246994	174670	-174671	1681.51	1520.19
132	-9.54385	0.00278299	175059	-175203	1561.03	1532.48
138	-10.008	0.00255402	174947	-174984	1508.33	1494.16
144	-10.4718	0.00227325	174700	-174858	1576.22	1549.88
150	-10.9344	0.00235666	174836	-174904	1675.41	1654.01

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 323357.936062
