#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	7.03884	0.00360367	175314	-175218	1740.43	1587.94
-144	6.72156	0.00423026	175794	-175551	1428.24	1558.84
-138	6.40355	0.00373997	175675	-175395	1569.47	1586.63
-132	6.08391	0.00420582	175750	-175262	1549.58	1603.51
-126	5.76322	0.00416766	175720	-175337	1402.83	1406.96
-120	5.44	0.00410747	176181	-175763	1491.38	1364.39
-114	5.11533	0.00413742	176312	-175553	1545.67	1417.4
-108	4.78854	0.00541765	176331	-175720	1582.26	1438.33
-102	4.45871	0.00415434	177072	-176140	1395.87	1605.3
-96	4.12707	0.00471472	177054	-176039	1462.42	1624
-90	3.7911	0.00523338	177883	-176577	1636.1	1707.58
-84	3.45304	0.00610413	178441	-176805	1405.55	1460.59
-78	3.10976	0.00554131	178944	-177173	1310.51	1374.24
-72	2.76378	0.00635564	180227	-177698	1571.95	1680.86
-66	2.4158	0.00693181	181597	-178495	1567.73	1594.85
-60	2.06613	0.00654683	183094	-179259	1369.99	1318.87
-54	1.72026	0.00632919	185714	-180785	1442.65	1583.24
-48	1.38437	0.0067054	188842	-182551	1778.41	1797.43
-42	1.06548	0.00607048	192391	-184808	1683.03	1558.81
-36	0.776735	0.00563861	196232	-187138	1948.94	1771.33
-30	0.527435	0.00431384	201533	-190592	1771.29	1651.09
-24	0.326987	0.00292188	208418	-192814	1649.92	1535.64
-18	0.17993	0.00194903	219092	-192582	1859.65	1579.11
-12	0.0820623	0.00131403	232112	-190508	2073.82	1751.1
-6	0.0265118	0.000574624	248597	-186695	1584.38	1289.09
0	-0.00134955	9.77162e-05	256854	-184972	2085.53	1512.09
6	-0.0261625	0.000520201	259193	-185059	2062.87	1534.71
12	-0.0624511	0.00121961	258233	-184055	1832.95	1530.65
18	-0.118525	0.0022271	256102	-183071	1726.04	1378.49
24	-0.198968	0.00339844	252564	-181619	2058.94	1639.08
30	-0.310945	0.00418497	247571	-180200	1722.68	1333.84
36	-0.466923	0.00601678	241086	-178640	1861.89	1504.64
42	-0.675659	0.00636419	233986	-177337	1670.79	1371.82
48	-0.93691	0.00696219	225908	-175872	1913.28	1460.66
54	-1.23833	0.00994372	218719	-175189	1825.19	1459.91
60	-1.56715	0.0104197	212206	-174756	1842.58	1460.84
66	-1.91398	0.00931603	205831	-174615	1666.91	1384.52
72	-2.27444	0.0100123	199789	-174200	1710.68	1531.43
78	-2.64414	0.0106651	194979	-174802	1558.16	1308.85
84	-3.02194	0.00932075	190224	-174563	1573.68	1406.88
90	-3.40318	0.0103435	186725	-174930	1693.85	1549.48
96	-3.78151	0.00966711	183763	-174824	1436.73	1334.25
102	-4.15311	0.00823149	181833	-175025	1550.22	1373.97
108	-4.51722	0.00804621	180329	-175179	1280.48	1465.33
114	-4.87385	0.00665982	179256	-175200	1502.72	1513.35
120	-5.22537	0.00634792	178403	-175120	1436.47	1509.53
126	-5.57049	0.00585902	177987	-175263	1608.5	1589.76
132	-5.9097	0.00584925	177432	-175214	1585.51	1410.64
138	-6.24633	0.00504667	176785	-175040	1481.98	1462.27
144	-6.57762	0.00483343	176697	-175291	1459.35	1415.48
150	-6.9069	0.00518398	176379	-175135	1460.98	1476.86

#a = 0.750000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 128     time = 10000000.000000
#CPU_time = 320175.108144
