#F	x1	dx1	x2	dx2	xm	dxm	Q_in	dQ_in	Q_out	dQ_out
-150.000000	7.319955	0.001138	-7.320095	0.001593	-1206.064725	21459.227539	350517.809089	-350408.426367	1957.633097	2016.050570
-144.000000	7.014000	0.001327	-7.013851	0.001261	-2349.820816	21857.285907	351121.620628	-350570.682350	1810.848490	2129.437013
-138.000000	6.707193	0.001462	-6.706975	0.001569	-208.929558	21365.735569	351448.048730	-351045.492850	2205.395206	2017.853093
-132.000000	6.399882	0.001472	-6.399942	0.001366	-178.328023	21917.962730	351207.405093	-350663.433040	2073.353777	2077.909542
-126.000000	6.092331	0.001693	-6.092181	0.001539	-2275.927079	24024.757598	351407.546116	-351144.831562	1990.840540	2270.584216
-120.000000	5.784309	0.001501	-5.783851	0.001490	-4755.883788	23198.018997	351844.813152	-351153.246921	2173.589081	2205.858101
-114.000000	5.475427	0.001552	-5.475437	0.001673	-464.142916	24610.006032	352224.153409	-351415.156792	2309.773357	2287.439314
-108.000000	5.165856	0.001754	-5.166005	0.001686	1223.809985	25274.605613	352644.349473	-351562.828849	2142.240353	2014.891511
-102.000000	4.855650	0.001902	-4.855617	0.001807	269.472281	26776.930523	353172.221134	-351791.188659	2128.829230	2194.966467
-96.000000	4.544353	0.002000	-4.545197	0.001816	5984.118891	32243.109179	353557.970421	-351929.510031	2121.822826	2068.957681
-90.000000	4.233078	0.001563	-4.232475	0.002209	-7005.421786	31322.012322	354638.061777	-352773.476070	2618.006008	2287.928236
-84.000000	3.920212	0.002196	-3.920320	0.002098	1828.471155	30276.499427	355383.455223	-353094.644809	1971.489548	2216.011993
-78.000000	3.606424	0.002321	-3.606412	0.002063	779.740697	33911.106134	356619.780957	-353671.697011	2050.637931	2131.320767
-72.000000	3.291389	0.002013	-3.291862	0.002456	3056.702254	36466.297008	358564.756173	-354807.807348	2308.217806	2225.898117
-66.000000	2.976517	0.002527	-2.976883	0.002200	5405.959280	34903.366501	360230.301831	-355656.619284	2169.851501	2169.037861
-60.000000	2.661262	0.002437	-2.661059	0.002617	-1855.902935	41178.678634	362972.079473	-357402.893581	2281.859953	2324.399747
-54.000000	2.346139	0.002668	-2.346118	0.002682	241.350844	43259.453716	365395.262158	-358500.937056	2664.411462	2571.618020
-48.000000	2.033473	0.002649	-2.033638	0.002144	-1127.569583	38149.564684	369956.469162	-360877.908251	2484.174122	2002.487834
-42.000000	1.723280	0.002557	-1.724037	0.002109	1615.048266	39974.756463	373610.248844	-363047.612703	2360.985638	2385.709491
-36.000000	1.418504	0.002272	-1.418574	0.002107	-649.898374	37745.763745	379871.149158	-366577.602675	2333.483016	2280.193699
-30.000000	1.119481	0.002027	-1.119263	0.002207	-1237.530008	35727.649131	385883.458268	-369613.324127	2553.921918	2248.996186
-24.000000	0.826043	0.002192	-0.826117	0.002183	-256.928016	27839.477218	393321.879127	-374318.874776	2170.371823	2181.506967
-18.000000	0.538697	0.001711	-0.538736	0.001674	1644.266990	20117.164632	403309.380385	-378291.036331	2428.835881	2205.038367
-12.000000	0.271877	0.001292	-0.271901	0.001528	232.475393	11836.249634	421314.933268	-382618.921854	2732.879541	2558.935564
-6.000000	0.076766	0.000727	-0.076843	0.000726	427.058513	4212.232057	461274.964185	-381441.911355	2692.746743	2499.525261
0.000000	-0.001228	0.000135	0.001238	0.000140	56.492660	912.169630	512963.803401	-370448.537135	2491.043439	1849.574112
6.000000	-0.056735	0.000710	0.056678	0.000717	216.498102	4359.121864	515625.351967	-368217.372048	2747.322232	2079.532194
12.000000	-0.183538	0.001389	0.183373	0.001601	2081.918570	10460.214327	500378.038796	-362513.016579	2401.218908	1867.555730
18.000000	-0.410475	0.002628	0.410650	0.002579	-2663.973553	19859.770298	479386.585600	-357664.736020	2712.260090	2178.791675
24.000000	-0.699278	0.002849	0.699644	0.002623	-2337.418961	30582.904763	463117.995250	-355373.133816	2871.490756	2261.716720
30.000000	-0.997365	0.002919	0.997437	0.002528	1319.218793	36306.802774	450045.688699	-353313.145267	2512.971666	1936.821097
36.000000	-1.293923	0.002928	1.294074	0.003175	-402.989467	51455.550395	439279.946787	-351572.336640	2279.423445	1941.599139
42.000000	-1.590528	0.003399	1.590594	0.003331	1797.004843	57662.843600	429914.639331	-351006.821459	2304.962335	2010.329801
48.000000	-1.890446	0.003665	1.891003	0.003261	-3290.721511	61086.985150	420092.697858	-350005.459280	2753.766087	2154.224188
54.000000	-2.195587	0.003569	2.195666	0.003577	-8655.869359	66561.129058	410825.352017	-349733.569498	2203.039269	2098.674829
60.000000	-2.506462	0.003701	2.506439	0.003898	1243.299276	64852.569986	401243.623094	-348854.949638	2381.908257	2156.289366
66.000000	-2.820578	0.003990	2.820627	0.004124	2292.884639	70013.975735	393277.656382	-349242.786582	2219.248728	1968.939233
72.000000	-3.139127	0.003691	3.140237	0.003709	-8070.082429	66246.290504	384924.287772	-349108.837952	2352.225542	2171.422110
