#k	x1	dx1	x2	dx2	xm	dxm	Q_in	Q_out	dQ_in	dQ_out
0.000100	-1571.013405	471.579924	1572.351240	467.793319	4979.559137	459.331279	512861.520504	-370854.089558	2590.688223	2057.739759
0.000200	-858.525307	219.800285	857.487434	222.234865	4982.132624	472.832888	512420.082746	-370646.796647	2415.795677	2071.717191
0.000398	-445.525081	122.584592	448.507875	124.250637	4997.101605	436.513848	512089.683770	-370318.935923	2384.017439	1942.983665
0.000794	-230.499326	78.720131	229.390697	79.212333	5032.208169	402.447709	513285.937653	-371018.146804	2789.035080	2127.298667
0.001585	-116.118753	54.634141	116.091524	54.391732	4931.577856	423.895212	512393.821425	-370298.983591	2435.185724	2052.899904
0.003162	-59.543447	38.264349	59.517140	38.207688	4992.862594	432.447513	512281.200626	-370410.553587	2726.172608	2241.884252
0.006310	-30.463692	27.073695	30.572159	27.005066	5012.200864	415.615027	512428.845950	-370459.186668	2628.741769	2173.806307
0.012589	-15.927671	19.141123	15.980443	19.163673	5014.762783	442.307601	512394.788760	-370723.456244	2589.166829	2018.784916
0.025119	-8.595860	13.595595	8.601563	13.614350	5007.859264	383.513863	512478.298735	-370904.387107	2496.835609	2089.998203
0.050119	-4.816276	9.665336	4.813699	9.665486	4990.233853	415.873044	512465.116822	-370867.746274	2546.746184	2140.848015
0.100000	-2.849138	6.858001	2.855303	6.859533	5023.085515	367.614762	511781.159048	-370682.108341	2422.329336	1894.594337
0.199526	-1.769037	4.877341	1.769025	4.877857	5025.257667	341.252801	511503.236530	-370738.707954	2964.146163	2247.377402
0.398107	-1.101569	3.455566	1.099300	3.456779	5023.894823	319.635854	510967.710578	-370996.834381	2444.168267	2056.006119
0.794328	-0.664896	2.442468	0.664177	2.442578	5001.719560	299.621424	509586.025641	-371078.454169	2354.124369	1834.678330
1.584893	-0.368874	1.736729	0.368795	1.737235	5025.346676	304.220335	508650.166690	-371410.646338	2954.231683	2181.526065
3.162278	-0.174341	1.249323	0.175048	1.249100	5021.333120	302.725564	506308.502310	-372128.085234	3316.951714	2416.391481
6.309573	-0.058720	0.901310	0.058698	0.901491	4983.488809	269.172345	501449.732470	-373463.324821	5732.124581	4458.326435
12.589254	-0.057448	0.658627	0.057747	0.658610	4970.122571	341.584760	494079.351120	-374362.611872	7063.058881	9975.745896
25.118864	-0.001014	0.478549	0.001077	0.478519	5015.864330	331.441661	485887.505990	-371450.260372	4916.124500	17380.137895
50.118723	-0.000327	0.329794	0.000298	0.329836	4991.723432	353.165600	476254.734590	-368427.393069	5787.362865	25062.962534
100.000000	-0.007134	0.227827	0.007210	0.227749	5001.313992	417.532881	468391.008409	-362121.517929	9279.256124	29436.574217

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 128     time = 10000000.000000
#CPU_time = 191665.355252
