#c	v(nm/us)	dv
0	0.00125574	0.000164629
0.05	0.00130849	0.000160963
0.1	0.00137211	0.00013922
0.15	0.00141567	0.000123662
0.2	0.00141285	0.000123036
0.25	0.00138281	0.000101903
0.3	0.00134992	8.00324e-05
0.35	0.00131046	7.94338e-05
0.4	0.00122949	7.33586e-05
0.45	0.0011546	5.44408e-05
0.5	0.00103305	4.80808e-05
0.55	0.000904414	4.32665e-05
0.6	0.000754949	3.67114e-05
0.65	0.000582449	2.75978e-05
0.7	0.000414447	2.93326e-05
0.75	0.000262069	2.27707e-05
0.8	0.000133642	1.77106e-05
0.85	5.98507e-05	1.29742e-05
0.9	1.93799e-05	1.31617e-05
0.95	4.0401e-06	9.1e-06
1	-7.84941e-07	8.76984e-06

#a = 0.250000 V = 40.000000 #N_heads = 4	N = 128     time = 10000000.000000
#CPU_time = 144292.774231
