#c	v(nm/us)	dv
0	0.0016712	0.000278234
0.05	0.0018947	0.000293794
0.1	0.00207024	0.000278713
0.15	0.00219336	0.00025889
0.2	0.0022797	0.000201642
0.25	0.00226834	0.000196525
0.3	0.00221736	0.000177437
0.35	0.00209642	0.000141343
0.4	0.00192217	0.000118179
0.45	0.0016956	0.000100187
0.5	0.00137613	8.93085e-05
0.55	0.00103883	6.90809e-05
0.6	0.000715595	5.66111e-05
0.65	0.000439559	4.76367e-05
0.7	0.00024198	3.70446e-05
0.75	0.000121433	2.82293e-05
0.8	5.31702e-05	2.47672e-05
0.85	2.25447e-05	1.64534e-05
0.9	6.12771e-06	1.31617e-05
0.95	3.71256e-07	8.39155e-06
1	-3.80511e-08	8.72212e-06

#a = 0.250000 V = 40.000000 #N_heads = 4	N = 128     time = 10000000.000000
#CPU_time = 137170.476698
