#c	v(nm/us)	dv
0	0.00039509	0.00028521
0.05	0.000393073	0.000293563
0.1	0.000317227	0.000322282
0.15	0.000234819	0.000276131
0.2	0.000182287	0.000293852
0.25	9.4225e-05	0.000272247
0.3	9.61641e-05	0.000245325
0.35	0.000101684	0.000203737
0.4	7.45716e-05	0.00018233
0.45	6.99646e-05	0.000163687
0.5	4.93883e-05	0.000150532
0.55	2.53364e-05	0.00012126
0.6	2.11673e-05	0.000107351
0.65	1.90645e-05	8.88836e-05
0.7	1.92556e-05	8.49999e-05
0.75	1.19508e-05	6.9584e-05
0.8	9.72429e-06	5.95211e-05
0.85	8.32333e-06	4.74777e-05
0.9	1.40954e-05	4.37012e-05
0.95	9.73699e-06	3.32554e-05
1	7.19046e-06	2.81872e-05

#a = 0.250000 V = 40.000000 #N_heads = 1	N = 128     time = 10000000.000000
#CPU_time = 98464.206994
