#c	v(nm/us)	dv
0	0.000443502	0.000308776
0.05	0.00035429	0.000299821
0.1	0.000330963	0.000277028
0.15	0.000258206	0.000261069
0.2	0.000202331	0.000284888
0.25	0.000176175	0.000276321
0.3	0.000101678	0.000230346
0.35	9.07781e-05	0.000229215
0.4	5.08654e-05	0.000170065
0.45	6.62261e-05	0.000146959
0.5	4.26434e-05	0.000133314
0.55	4.76603e-05	0.000123142
0.6	2.32228e-05	0.00010913
0.65	-2.33837e-06	9.81486e-05
0.7	2.15988e-05	7.76315e-05
0.75	4.37677e-06	5.96258e-05
0.8	1.59824e-05	6.31745e-05
0.85	2.36171e-06	4.74289e-05
0.9	6.23582e-06	3.72036e-05
0.95	2.71069e-06	3.41899e-05
1	9.05626e-06	2.94199e-05

#a = 0.250000 V = 40.000000 #N_heads = 1	N = 128     time = 10000000.000000
#CPU_time = 98445.922972
