#k	v(nm/us)	dv
0.0883875	0.000203631	1.31979e-05
0.124999	0.000271408	1.57996e-05
0.176775	0.000352351	1.84868e-05
0.249998	0.000447537	2.16588e-05
0.35355	0.000556232	2.80182e-05
0.499995	0.000683776	4.06466e-05
0.7071	0.000814727	4.34382e-05
0.99999	0.000967147	5.16161e-05
1.4142	0.00115275	6.42371e-05
1.99998	0.00134639	9.69701e-05
2.8284	0.0015478	0.000121449
3.99996	0.00174938	0.00013967
5.6568	0.00194268	0.000148369
7.99992	0.00207581	0.000148799
11.3136	0.00217659	0.000144888

#a = 0.250000 V = 40.000000 #N_heads = 4	N = 128     time = 10000000.000000
#CPU_time = 90802.273916
